"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"'s-Gravenhage";"GM0518";545844;153;"Zuid-Holland";60;21,4346956273221
"'s-Hertogenbosch";"GM0796";155112;217;"Noord-Brabant";72;11,8808160739153
"Aa en Hunze";"GM1680";25445;282;"Drenthe";79;5,61435027931393
"Aalsmeer";"GM0358";31859;104;"Noord-Holland";72;13,4521305932838
"Aalten";"GM0197";27121;43;"Gelderland";78;6,32087944502678
"Achtkarspelen";"GM0059";27843;6;"Fryslân";64;22,5755640042894
"Alblasserdam";"GM0482";20165;143;"Zuid-Holland";62;19,8363501115795
"Albrandswaard";"GM0613";25591;175;"Zuid-Holland";72;16,7469590313559
"Alkmaar";"GM0361";109436;105;"Noord-Holland";69;12,7928652363025
"Almelo";"GM0141";73107;23;"Overijssel";68;15,4372553732396
"Almere";"GM0034";211895;2;"Flevoland";64;21,7088652398594
"Alphen-Chaam";"GM1723";10203;301;"Noord-Brabant";82;1,40014841573207
"Alphen aan den Rijn";"GM0484";111897;144;"Zuid-Holland";72;10,0858059516469
"Altena";"GM1959";55967;344;"Noord-Brabant";65;7,65757372329102
"Ameland";"GM0060";3716;7;"Fryslân";87;0
"Amersfoort";"GM0307";157276;84;"Utrecht";72;11,8990092031115
"Amstelveen";"GM0362";91676;106;"Noord-Holland";74;16,5177987072485
"Amsterdam";"GM0363";872793;107;"Noord-Holland";61;22,5712167719035
"Apeldoorn";"GM0200";163818;44;"Gelderland";72;14,9992238773691
"Arnhem";"GM0202";161350;45;"Gelderland";68;13,1037230510425
"Assen";"GM0106";68599;18;"Drenthe";76;8,74648318488608
"Asten";"GM0743";16721;198;"Noord-Brabant";75;3,41743060479978
"Baarle-Nassau";"GM0744";6859;199;"Noord-Brabant";79;2,03012210217171e-15
"Baarn";"GM0308";24868;85;"Utrecht";76;9,76584939911303
"Barendrecht";"GM0489";48714;145;"Zuid-Holland";72;25,5133461193321
"Barneveld";"GM0203";59082;46;"Gelderland";58;21,7615227262836
"Beek";"GM0888";15865;244;"Limburg";76;7,20363783710774
"Beekdaelen";"GM1954";35938;342;"Limburg";75;10,3352599317873
"Beemster";"GM0370";10022;108;"Noord-Holland";75;17,105225646435
"Beesel";"GM0889";13482;245;"Limburg";76;11,6557526437366
"Berg en Dal";"GM1945";34992;337;"Gelderland";79;7,75687504082566
"Bergeijk";"GM1724";18635;302;"Noord-Brabant";77;9,19927938978113
"Bergen (L)";"GM0893";13085;246;"Limburg";76;12,0093891587969
"Bergen (N-H)";"GM0373";29839;109;"Noord-Holland";72;12,4477553345813
"Bergen op Zoom";"GM0748";67496;200;"Noord-Brabant";72;13,7574290116663
"Berkelland";"GM1859";43747;316;"Gelderland";78;4,89829506676376
