Leeftijd,aantal
0,17407585
1,17238088
2,17068170
3,16896219
4,16720900
5,16546113
6,16366532
7,16190317
8,16009348
9,15824561
10,15634690
11,15444109
12,15252908
13,15065275
14,14874326
15,14681486
16,14482909
17,14277489
18,14070340
19,13856817
20,13632328
21,13409796
22,13188145
23,12971848
24,12755400
25,12537743
26,12313230
27,12088243
28,11860592
29,11630256
30,11398778
31,11174711
32,10953144
33,10732132
34,10511860
35,10296675
36,10085067
37,9879373
38,9673238
39,9463451
40,9250847
41,9045447
42,8840096
43,8637863
44,8434031
45,8228839
46,8014664
47,7793267
48,7554126
49,7303712
50,7042771
51,6776584
52,6521662
53,6269728
54,6016930
55,5760945
56,5500987
57,5245902
58,4996193
59,4749517
60,4510353
61,4274190
62,4045269
63,3822194
64,3604073
65,3392555
66,3185324
67,2982701
68,2781203
69,2588506
70,2396507
71,2204175
72,2008489
73,1805579
74,1599567
75,1455288
76,1307679
77,1170858
78,1047812
79,934192
80,822088
81,718532
82,622060
83,536761
84,457552
85,386032
86,321320
87,264316
88,212629
89,168309
90,129831
91,99193
92,73855
93,54124
94,38471
95,26713
96,17858
97,11496
98,7122
99,4289
100,2398
101,1324
102,734
103,377
104,192
105,102
