Leeftijd;aantal;Leeftijd_rev;aantal_rev;agegroup;number_in_group
0;169497;105;102;0-15;2924676
1;169918;104;90;0-17;3337245
2;171951;103;185;16-59;9772556
3;175319;102;357;18-59;9559987
4;174787;101;590;60-74;3055065
5;179581;100;1074;75;1455288
6;176215;99;1891;;
7;180969;98;2833;;
8;184787;97;4374;;
9;189871;96;6362;;
10;190581;95;8855;;
11;191201;94;11758;;
12;187633;93;15653;;
13;190949;92;19731;;
14;192840;91;25338;;
15;198577;90;30638;;
16;205420;89;38478;;
17;207149;88;44320;;
18;213523;87;51687;;
19;224489;86;57004;;
20;222532;85;64712;;
21;221651;84;71520;;
22;216297;83;79209;;
23;216448;82;85299;;
24;217657;81;96472;;
25;224513;80;103556;;
26;224987;79;112104;;
27;227651;78;113620;;
28;230336;77;123046;;
29;231478;76;136821;;
30;224067;75;147609;;
31;221567;74;144279;;
32;221012;73;206012;;
33;220272;72;202910;;
34;215185;71;195686;;
35;211608;70;192332;;
36;205694;69;191999;;
37;206135;68;192697;;
38;209787;67;201498;;
39;212604;66;202623;;
40;205400;65;207231;;
41;205351;64;211518;;
42;202233;63;218121;;
43;203832;62;223075;;
44;205192;61;228921;;
45;214175;60;236163;;
46;221397;59;239164;;
47;239141;58;246676;;
48;250414;57;249709;;
49;260941;56;255085;;
50;266187;55;259958;;
51;254922;54;255985;;
52;251934;53;252798;;
53;252798;52;251934;;
54;255985;51;254922;;
55;259958;50;266187;;
56;255085;49;260941;;
57;249709;48;250414;;
58;246676;47;239141;;
59;239164;46;221397;;
60;236163;45;214175;;
61;228921;44;205192;;
62;223075;43;203832;;
63;218121;42;202233;;
64;211518;41;205351;;
65;207231;40;205400;;
66;202623;39;212604;;
67;201498;38;209787;;
68;192697;37;206135;;
69;191999;36;205694;;
70;192332;35;211608;;
71;195686;34;215185;;
72;202910;33;220272;;
73;206012;32;221012;;
74;144279;31;221567;;
75;147609;30;224067;;
76;136821;29;231478;;
77;123046;28;230336;;
78;113620;27;227651;;
79;112104;26;224987;;
80;103556;25;224513;;
81;96472;24;217657;;
82;85299;23;216448;;
83;79209;22;216297;;
84;71520;21;221651;;
85;64712;20;222532;;
86;57004;19;224489;;
87;51687;18;213523;;
88;44320;17;207149;;
89;38478;16;205420;;
90;30638;15;198577;;
91;25338;14;192840;;
92;19731;13;190949;;
93;15653;12;187633;;
94;11758;11;191201;;
95;8855;10;190581;;
96;6362;9;189871;;
97;4374;8;184787;;
98;2833;7;180969;;
99;1891;6;176215;;
100;1074;5;179581;;
101;590;4;174787;;
102;357;3;175319;;
103;185;2;171951;;
104;90;1;169918;;
105;102;0;169497;;
