Gemeentecode;Gemeentenaam;aantal_inwoners;gemeente_getal
GM0003;Appingedam;11642;1
GM0010;Delfzijl;24679;2
GM0014;Groningen;232880;3
GM0024;Loppersum;9537;4
GM0034;Almere;211895;5
GM0037;Stadskanaal;31686;6
GM0047;Veendam;27384;7
GM0050;Zeewolde;22654;8
GM0059;Achtkarspelen;27843;9
GM0060;Ameland;3716;10
GM0072;Harlingen;15722;11
GM0074;Heerenveen;50493;12
GM0080;Leeuwarden;124089;13
GM0085;Ooststellingwerf;25469;14
GM0086;Opsterland;29733;15
GM0088;Schiermonnikoog;947;16
GM0090;Smallingerland;56150;17
GM0093;Terschelling;4888;18
GM0096;Vlieland;1155;19
GM0098;Weststellingwerf;25914;20
GM0106;Assen;68599;21
GM0109;Coevorden;35297;22
GM0114;Emmen;107048;23
GM0118;Hoogeveen;55699;24
GM0119;Meppel;33920;25
GM0141;Almelo;73107;26
GM0147;Borne;23312;27
GM0148;Dalfsen;28587;28
GM0150;Deventer;100719;29
GM0153;Enschede;159642;30
GM0158;Haaksbergen;24311;31
GM0160;Hardenberg;60948;32
GM0163;Hellendoorn;35916;33
GM0164;Hengelo (O);81140;34
GM0166;Kampen;54319;35
GM0168;Losser;22683;36
GM0171;Noordoostpolder;47293;37
GM0173;Oldenzaal;31836;38
GM0175;Ommen;18009;39
GM0177;Raalte;37712;40
GM0180;Staphorst;17145;41
GM0183;Tubbergen;21275;42
GM0184;Urk;21031;43
GM0189;Wierden;24446;44
GM0193;Zwolle;128843;45
GM0197;Aalten;27121;46
GM0200;Apeldoorn;163818;47
GM0202;Arnhem;161350;48
GM0203;Barneveld;59082;49
GM0209;Beuningen;25890;50
GM0213;Brummen;20726;51
GM0214;Buren;26749;52
GM0216;Culemborg;28955;53
GM0221;Doesburg;11077;54
GM0222;Doetinchem;58005;55
GM0225;Druten;18926;56
GM0226;Duiven;25126;57
GM0228;Ede;117166;58
GM0230;Elburg;23161;59
GM0232;Epe;33179;60
GM0233;Ermelo;27008;61
GM0243;Harderwijk;48416;62
GM0244;Hattem;12209;63
GM0246;Heerde;18589;64
GM0252;Heumen;16454;65
GM0262;Lochem;33730;66
GM0263;Maasdriel;25030;67
GM0267;Nijkerk;43171;68
GM0268;Nijmegen;177662;69
GM0269;Oldebroek;23646;70
GM0273;Putten;24112;71
GM0274;Renkum;31419;72
GM0275;Rheden;43761;73
GM0277;Rozendaal;1704;74
GM0279;Scherpenzeel;9880;75
GM0281;Tiel;42159;76
GM0285;Voorst;24552;77
GM0289;Wageningen;39664;78
GM0293;Westervoort;14971;79
GM0294;Winterswijk;28854;80
GM0296;Wijchen;41110;81
GM0297;Zaltbommel;28881;82
GM0299;Zevenaar;43751;83
GM0301;Zutphen;47934;84
GM0302;Nunspeet;27851;85
GM0303;Dronten;41555;86
GM0307;Amersfoort;157276;87
GM0308;Baarn;24868;88
GM0310;De Bilt;43137;89
GM0312;Bunnik;15191;90
GM0313;Bunschoten;21866;91
GM0317;Eemnes;9247;92
GM0321;Houten;50146;93
GM0327;Leusden;30401;94
GM0331;Lopik;14467;95
GM0335;Montfoort;13917;96
GM0339;Renswoude;5444;97
GM0340;Rhenen;20119;98
GM0342;Soest;46607;99
GM0344;Utrecht;357600;100
GM0345;Veenendaal;66493;101
GM0351;Woudenberg;13362;102
GM0352;Wijk bij Duurstede;23914;103
GM0353;IJsselstein;34109;104
GM0355;Zeist;64905;105
GM0356;Nieuwegein;63463;106
GM0358;Aalsmeer;31859;107
GM0361;Alkmaar;109436;108
GM0362;Amstelveen;91676;109
GM0363;Amsterdam;872793;110
GM0370;Beemster;10022;111
GM0373;Bergen (N-H);29839;112
