RegioCode;RegioNaam;inwoners;FVD_8_P;inwoners_fvd
GM0899;Brunssum;27670;FvD;1094135
GM0928;Kerkrade;45442;FvD;1094135
GM0917;Heerlen;86936;FvD;1094135
GM0059;Achtkarspelen;27900;FvD;1094135
GM0184;Urk;21227;FvD;1094135
GM0882;Landgraaf;37262;FvD;1094135
GM0530;Hellevoetsluis;40312;FvD;1094135
GM1970;Noardeast-Fryslân;45481;FvD;1094135
GM1891;Dantumadiel;18943;FvD;1094135
GM0400;Den Helder;56582;FvD;1094135
GM0971;Stein;24875;FvD;1094135
GM0385;Edam-Volendam;36268;FvD;1094135
GM1930;Nissewaard;85440;FvD;1094135
GM1883;Sittard-Geleen;91743;FvD;1094135
GM1940;De Fryske Marren;51778;FvD;1094135
GM0180;Staphorst;17261;FvD;1094135
GM0090;Smallingerland;56040;FvD;1094135
GM0995;Lelystad;79811;FvD;1094135
GM0118;Hoogeveen;55603;FvD;1094135
GM0047;Veendam;27417;FvD;1094135
GM0037;Stadskanaal;31754;FvD;1094135
GM0765;Pekela;12176;FvD;1094135
GM1950;Westerwolde;26215;FvD;1094135
GM1900;Súdwest-Fryslân;89999;FvD;1094135
