Gemeentecode;Gemeentenaam;aantal_inwoners;Biblebelt;bible.inw
GM0482;Alblasserdam;20136;bible;1791491
GM1959;Altena;56352;bible;1791491
GM0203;Barneveld;59992;bible;1791491
GM1901;Bodegraven-Reeuwijk;35278;bible;1791491
GM0654;Borsele;22818;bible;1791491
GM0313;Bunschoten;22019;bible;1791491
GM0502;Capelle aan den IJssel;67319;bible;1791491
GM1891;Dantumadiel;18943;bible;1791491
GM0228;Ede;118530;bible;1791491
GM0230;Elburg;23429;bible;1791491
GM0233;Ermelo;27016;bible;1791491
GM1924;Goeree-Overflakkee;50589;bible;1791491
GM0664;Goes;38594;bible;1791491
GM0523;Hardinxveld-Giessendam;18413;bible;1791491
GM0531;Hendrik-Ido-Ambacht;31258;bible;1791491
GM1963;Hoeksche Waard;88047;bible;1791491
GM0166;Kampen;54474;bible;1791491
GM0678;Kapelle;12882;bible;1791491
GM0537;Katwijk;65995;bible;1791491
GM0542;Krimpen aan den IJssel;29410;bible;1791491
GM1931;Krimpenerwaard;56622;bible;1791491
GM0331;Lopik;14456;bible;1791491
GM0687;Middelburg;48964;bible;1791491
GM1978;Molenlanden;44130;bible;1791491
GM0335;Montfoort;13896;bible;1791491
GM1740;Neder-Betuwe;24648;bible;1791491
GM0267;Nijkerk;43600;bible;1791491
GM0302;Nunspeet;28021;bible;1791491
GM0269;Oldebroek;23760;bible;1791491
GM0273;Putten;24365;bible;1791491
GM0703;Reimerswaal;22896;bible;1791491
GM0339;Renswoude;5556;bible;1791491
GM0340;Rhenen;20203;bible;1791491
GM0597;Ridderkerk;46671;bible;1791491
GM1742;Rijssen-Holten;38204;bible;1791491
GM0279;Scherpenzeel;10128;bible;1791491
GM1676;Schouwen-Duiveland;34065;bible;1791491
GM0610;Sliedrecht;25597;bible;1791491
GM0180;Staphorst;17261;bible;1791491
GM0716;Tholen;26085;bible;1791491
GM0184;Urk;21227;bible;1791491
GM0345;Veenendaal;66912;bible;1791491
GM0717;Veere;21953;bible;1791491
GM1961;Vijfheerenlanden;57829;bible;1791491
GM0627;Waddinxveen;30479;bible;1791491
GM1960;West Betuwe;51496;bible;1791491
GM0351;Woudenberg;13639;bible;1791491
GM0297;Zaltbommel;29447;bible;1791491
GM1892;Zuidplas;45064;bible;1791491
GM1896;Zwartewaterland;22823;bible;1791491
