Datum;r_7;r_8;r_9;r_10;r_12;r_14;r_16;r_21;r_28;r_18;r_15;r10_5;r_12_4;r_26_3
2020-12-25;11753;9000;9000;9000;9000;11753;9000;11753;11753;9000;9000;9000;10000;10000
2020-12-26;10645;8253;8333;8397;8495;11185;8618;11371;11466;8660;8594;8425;9456;9740
2020-12-27;9641;7568;7715;7835;8018;10645;8253;11002;11185;8333;8206;7887;8942;9487
2020-12-28;8732;6940;7143;7310;7568;10131;7903;10645;10912;8018;7835;7383;8456;9240
2020-12-29;7909;6364;6614;6821;7143;9641;7568;10299;10645;7715;7481;6911;7996;8999
2020-12-30;7164;5836;6124;6364;6742;9176;7247;9965;10385;7424;7143;6470;7562;8765
2020-12-31;6488;5351;5670;5938;6364;8732;6940;9641;10131;7143;6821;6057;7151;8537
2021-01-01;5877;4907;5249;5540;6007;8311;6646;9328;9883;6873;6513;5670;6762;8315
2021-01-02;5322;4500;4860;5169;5670;7909;6364;9025;9641;6614;6219;5307;6394;8099
2021-01-03;4821;4127;4500;4823;5351;7527;6094;8732;9406;6364;5938;4968;6047;7888
2021-01-04;4366;3784;4166;4500;5051;7164;5836;8449;9176;6124;5670;4651;5718;7683
2021-01-05;3955;3470;3858;4199;4768;6818;5588;8175;8951;5892;5414;4354;5407;7483
2021-01-06;3582;3182;3572;3917;4500;6488;5351;7909;8732;5670;5169;4076;5113;7289
2021-01-07;3244;2918;3307;3655;4247;6175;5125;7652;8519;5455;4936;3815;4835;7099
2021-01-08;2938;2676;3062;3410;4009;5877;4907;7404;8311;5249;4713;3572;4572;6914
2021-01-09;2661;2454;2835;3182;3784;5593;4699;7164;8107;5051;4500;3343;4324;6735
2021-01-10;2410;2250;2625;2969;3572;5322;4500;6931;7909;4860;4297;3130;4089;6559
2021-01-11;2183;2063;2430;2770;3371;5065;4309;6706;7716;4677;4103;2930;3866;6389
2021-01-12;1977;1892;2250;2585;3182;4821;4127;6488;7527;4500;3917;2743;3656;6223
2021-01-13;1791;1735;2083;2411;3003;4588;3952;6278;7343;4330;3741;2568;3457;6061
2021-01-14;1622;1591;1929;2250;2835;4366;3784;6074;7164;4166;3572;2404;3269;5903
2021-01-15;1469;1459;1786;2099;2676;4155;3624;5876;6988;4009;3410;2250;3092;5750
2021-01-16;1331;1338;1653;1959;2526;3955;3470;5686;6818;3858;3256;2106;2924;5600
2021-01-17;1205;1227;1531;1828;2384;3764;3323;5501;6651;3712;3109;1972;2765;5454
2021-01-18;1092;1125;1417;1705;2250;3582;3182;5322;6488;3572;2969;1846;2614;5312
2021-01-19;989;1032;1312;1591;2124;3409;3047;5150;6330;3437;2835;1728;2472;5174
2021-01-20;895;946;1215;1484;2005;3244;2918;4982;6175;3307;2707;1617;2338;5040
2021-01-21;811;867;1125;1385;1892;3087;2794;4821;6024;3182;2585;1514;2211;4909
2021-01-22;735;795;1042;1292;1786;2938;2676;4664;5877;3062;2468;1417;2091;4781
2021-01-23;665;729;964;1206;1686;2796;2562;4513;5733;2946;2356;1327;1977;4657
2021-01-24;603;669;893;1125;1591;2661;2454;4366;5593;2835;2250;1242;1869;4535
2021-01-25;546;613;827;1050;1502;2533;2350;4224;5456;2728;2148;1163;1768;4417
2021-01-26;494;562;765;979;1417;2410;2250;4087;5322;2625;2051;1088;1672;4303
2021-01-27;448;516;709;914;1338;2294;2155;3955;5192;2526;1959;1019;1581;4191
2021-01-28;406;473;656;853;1263;2183;2063;3826;5065;2430;1870;954;1495;4082
2021-01-29;367;434;608;795;1192;2078;1976;3702;4942;2338;1786;893;1414;3975
2021-01-30;333;398;563;742;1125;1977;1892;3582;4821;2250;1705;836;1337;3872
2021-01-31;301;365;521;693;1062;1882;1812;3465;4703;2165;1628;782;1264;3771
2021-02-01;273;334;482;646;1002;1791;1735;3353;4588;2083;1555;732;1195;3673
2021-02-02;247;307;446;603;946;1704;1661;3244;4476;2005;1484;686;1130;3578
2021-02-03;224;281;413;563;893;1622;1591;3139;4366;1929;1417;642;1069;3485
2021-02-04;203;258;383;525;843;1544;1524;3037;4259;1856;1353;601;1011;3394
2021-02-05;184;237;354;490;795;1469;1459;2938;4155;1786;1292;563;956;3306
2021-02-06;166;217;328;457;751;1398;1397;2843;4054;1718;1234;527;904;3220
2021-02-07;151;199;304;426;709;1331;1338;2751;3955;1653;1178;493;855;3136
2021-02-08;136;182;281;398;669;1266;1281;2661;3858;1591;1125;461;808;3054
2021-02-09;124;167;260;371;631;1205;1227;2575;3764;1531;1074;432;764;2975
2021-02-10;112;153;241;346;596;1147;1175;2491;3672;1473;1026;404;723;2898
2021-02-11;101;141;223;323;563;1092;1125;2410;3582;1417;979;379;683;2822
2021-02-12;92;129;207;301;531;1039;1077;2332;3494;1364;935;354;646;2749
2021-02-13;83;118;191;281;501;989;1032;2256;3409;1312;893;332;611;2677
2021-02-14;75;108;177;262;473;941;988;2183;3325;1263;853;311;578;2608
2021-02-15;68;99;164;245;446;895;946;2112;3244;1215;814;291;547;2540
2021-02-16;62;91;152;228;421;852;906;2044;3165;1169;777;272;517;2474
2021-02-17;56;84;141;213;398;811;867;1977;3087;1125;742;255;489;2409
2021-02-18;51;77;130;199;375;772;831;1913;3012;1083;709;238;462;2347
2021-02-19;46;70;121;186;354;735;795;1851;2938;1042;677;223;437;2286
2021-02-20;42;64;112;173;334;699;762;1791;2866;1002;646;209;413;2226
2021-02-21;38;59;103;162;316;665;729;1733;2796;964;617;196;391;2168
2021-02-22;34;54;96;151;298;633;699;1676;2728;928;589;183;370;2112
2021-02-23;31;50;89;141;281;603;669;1622;2661;893;563;171;349;2057
2021-02-24;28;46;82;131;265;573;641;1569;2596;859;537;160;330;2004
2021-02-25;25;42;76;122;251;546;613;1518;2533;827;513;150;312;1951
2021-02-26;23;38;70;114;237;519;587;1469;2471;795;490;141;296;1901
2021-02-27;21;35;65;107;223;494;563;1421;2410;765;468;132;279;1851
2021-02-28;19;32;60;99;211;470;539;1375;2351;737;446;123;264;1803
2021-03-01;17;30;56;93;199;448;516;1331;2294;709;426;115;250;1756
2021-03-02;15;27;52;87;188;426;494;1287;2238;682;407;108;236;1710
2021-03-03;14;25;48;81;177;406;473;1246;2183;656;389;101;223;1666
2021-03-04;13;23;44;75;167;386;453;1205;2130;631;371;95;211;1623
2021-03-05;11;21;41;70;158;367;434;1166;2078;608;354;89;200;1580
2021-03-06;10;19;38;66;149;350;415;1128;2027;585;338;83;189;1539
2021-03-07;9;18;35;61;141;333;398;1092;1977;563;323;78;179;1499
2021-03-08;9;16;33;57;133;317;381;1056;1929;541;308;73;169;1460
2021-03-09;8;15;30;53;125;301;365;1022;1882;521;295;68;160;1422
2021-03-10;7;14;28;50;118;287;349;989;1836;501;281;64;151;1385
2021-03-11;6;12;26;46;112;273;334;957;1791;482;269;60;143;1349
2021-03-12;6;11;24;43;105;260;320;925;1747;464;256;56;135;1314
2021-03-13;5;10;22;40;99;247;307;895;1704;446;245;52;128;1280
2021-03-14;5;10;21;38;94;235;294;866;1663;430;234;49;121;1247
2021-03-15;4;9;19;35;89;224;281;838;1622;413;223;46;114;1214
2021-03-16;4;8;18;33;84;213;269;811;1582;398;213;43;108;1183
2021-03-17;3;7;16;31;79;203;258;785;1544;383;204;40;102;1152
2021-03-18;3;7;15;29;74;193;247;759;1506;368;194;38;97;1122
2021-03-19;3;6;14;27;70;184;237;735;1469;354;186;35;91;1093
2021-03-20;3;6;13;25;66;175;226;711;1433;341;177;33;86;1064
2021-03-21;2;5;12;23;63;166;217;688;1398;328;169;31;82;1037
2021-03-22;2;5;11;22;59;158;208;665;1364;316;162;29;77;1010
2021-03-23;2;4;10;20;56;151;199;644;1331;304;154;27;73;983
2021-03-24;2;4;9;19;53;143;190;623;1298;292;147;25;69;958
2021-03-25;2;4;9;18;50;136;182;603;1266;281;141;24;65;933
2021-03-26;1;3;8;16;47;130;175;583;1235;271;134;22;62;909
2021-03-27;1;3;8;15;44;124;167;564;1205;260;128;21;58;885
2021-03-28;1;3;7;14;42;118;160;546;1176;251;122;19;55;862
2021-03-29;1;3;6;13;39;112;153;528;1147;241;117;18;52;840
2021-03-30;1;2;6;12;37;107;147;511;1119;232;112;17;49;818
2021-03-31;1;2;6;12;35;101;141;494;1092;223;107;16;47;796
2021-04-01;1;2;5;11;33;96;135;478;1065;215;102;15;44;776
2021-04-02;1;2;5;10;31;92;129;463;1039;207;97;14;42;756
2021-04-03;1;2;4;9;30;87;123;448;1013;199;93;13;40;736
2021-04-04;1;2;4;9;28;83;118;433;989;191;89;12;37;717
2021-04-05;1;1;4;8;26;79;113;419;964;184;85;11;35;698
2021-04-06;0;1;3;8;25;75;108;406;941;177;81;11;33;680
2021-04-07;0;1;3;7;23;72;104;392;918;170;77;10;32;662
2021-04-08;0;1;3;7;22;68;99;380;895;164;74;9;30;645
2021-04-09;0;1;3;6;21;65;95;367;874;158;70;9;28;628
2021-04-10;0;1;3;6;20;62;91;355;852;152;67;8;27;612
2021-04-11;0;1;2;5;19;59;87;344;831;146;64;8;25;596
2021-04-12;0;1;2;5;18;56;84;333;811;141;61;7;24;581
2021-04-13;0;1;2;5;17;53;80;322;791;135;58;7;23;565
2021-04-14;0;1;2;4;16;51;77;311;772;130;56;6;21;551
2021-04-15;0;1;2;4;15;48;73;301;753;125;53;6;20;536
2021-04-16;0;1;2;4;14;46;70;292;735;121;51;6;19;522
2021-04-17;0;1;1;4;13;44;67;282;717;116;49;5;18;509
2021-04-18;0;0;1;3;12;42;64;273;699;112;46;5;17;496
2021-04-19;0;0;1;3;12;40;62;264;682;107;44;5;16;483
2021-04-20;0;0;1;3;11;38;59;255;665;103;42;4;15;470
2021-04-21;0;0;1;3;10;36;57;247;649;99;40;4;14;458
2021-04-22;0;0;1;3;10;34;54;239;633;96;39;4;14;446
2021-04-23;0;0;1;2;9;32;52;231;618;92;37;3;13;434
2021-04-24;0;0;1;2;9;31;50;224;603;89;35;3;12;423
