Datum;r_7;r_8;r_9;r_10;r_12;r_14;r_16;r_21;r_28;;;;;;;;;;;;;
2020-10-20;9000;9000;9000;9000;9000;9000;9000;9000;9000;;;;;;;;;;;;;
2020-10-21;8152;8253;8333;8397;8495;8565;8618;8708;8780;;;;;;;;;;;;;
2020-10-22;7383;7568;7715;7835;8018;8152;8253;8425;8565;;;;;;;;;;;;;
2020-10-23;6687;6940;7143;7310;7568;7758;7903;8152;8356;;;;;;;;;;;;;
2020-10-24;6057;6364;6614;6821;7143;7383;7568;7887;8152;;;;;;;;;;;;;
2020-10-25;5486;5836;6124;6364;6742;7026;7247;7631;7952;;;;;;;;;;;;;0
2020-10-26;4968;5351;5670;5938;6364;6687;6940;7383;7758;;;;;;;;;;;;;
2020-10-27;4500;4907;5249;5540;6007;6364;6646;7143;7568;;;;;;;;;;;;;
2020-10-28;4076;4500;4860;5169;5670;6057;6364;6911;7383;;;;;;;;;;;;;
2020-10-29;3692;4127;4500;4823;5351;5764;6094;6687;7202;;;;;;;;;;;;;
2020-10-30;3343;3784;4166;4500;5051;5486;5836;6470;7026;;;;;;;;;;;;;
2020-10-31;3028;3470;3858;4199;4768;5221;5588;6260;6855;;;;;;;;;;;;;
2020-11-01;2743;3182;3572;3917;4500;4968;5351;6057;6687;;;;;;;;;;;;;
2020-11-02;2484;2918;3307;3655;4247;4728;5125;5860;6523;;;;;;;;;;;;;
2020-11-03;2250;2676;3062;3410;4009;4500;4907;5670;6364;;;;;;;;;;;;;
2020-11-04;2038;2454;2835;3182;3784;4283;4699;5486;6208;;;;;;;;;;;;;
2020-11-05;1846;2250;2625;2969;3572;4076;4500;5307;6057;;;;;;;;;;;;;
2020-11-06;1672;2063;2430;2770;3371;3879;4309;5135;5908;;;;;;;;;;;;;
2020-11-07;1514;1892;2250;2585;3182;3692;4127;4968;5764;;;;;;;;;;;;;
2020-11-08;1371;1735;2083;2411;3003;3513;3952;4807;5623;;;;;;;;;;;;;
2020-11-09;1242;1591;1929;2250;2835;3343;3784;4651;5486;;;;;;;;;;;;;
2020-11-10;1125;1459;1786;2099;2676;3182;3624;4500;5351;;;;;;;;;;;;;
2020-11-11;1019;1338;1653;1959;2526;3028;3470;4354;5221;;;;;;;;;;;;;
2020-11-12;923;1227;1531;1828;2384;2882;3323;4213;5093;;;;;;;;;;;;;
2020-11-13;836;1125;1417;1705;2250;2743;3182;4076;4968;;;;;;;;;;;;;
2020-11-14;757;1032;1312;1591;2124;2610;3047;3943;4847;;;;;;;;;;;;;
2020-11-15;686;946;1215;1484;2005;2484;2918;3815;4728;;;;;;;;;;;;;
2020-11-16;621;867;1125;1385;1892;2364;2794;3692;4613;;;;;;;;;;;;;
2020-11-17;563;795;1042;1292;1786;2250;2676;3572;4500;;;;;;;;;;;;;
2020-11-18;509;729;964;1206;1686;2141;2562;3456;4390;;;;;;;;;;;;;
2020-11-19;461;669;893;1125;1591;2038;2454;3343;4283;;;;;;;;;;;;;
2020-11-20;418;613;827;1050;1502;1939;2350;3235;4178;;;;;;;;;;;;;
2020-11-21;379;562;765;979;1417;1846;2250;3130;4076;;;;;;;;;;;;;
2020-11-22;343;516;709;914;1338;1757;2155;3028;3976;;;;;;;;;;;;;
2020-11-23;311;473;656;853;1263;1672;2063;2930;3879;;;;;;;;;;;;;
2020-11-24;281;434;608;795;1192;1591;1976;2835;3784;;;;;;;;;;;;;
