Datum;r_1;r_2;r_3;r_4;r_5
2020-10-20;9000;9000;9000;9000;9000
2020-10-21;8910;8820;8730;8640;8550
2020-10-22;8821;8644;8468;8294;8123
2020-10-23;8733;8471;8214;7963;7716
2020-10-24;8645;8301;7968;7644;7331
2020-10-25;8559;8135;7729;7338;6964
2020-10-26;8473;7973;7497;7045;6616
2020-10-27;8389;7813;7272;6763;6285
2020-10-28;8305;7657;7054;6493;5971
2020-10-29;8222;7504;6842;6233;5672
2020-10-30;8139;7354;6637;5983;5389
2020-10-31;8058;7207;6438;5744;5119
2020-11-01;7977;7062;6245;5514;4863
2020-11-02;7898;6921;6057;5294;4620
2020-11-03;7819;6783;5876;5082;4389
2020-11-04;7741;6647;5699;4879;4170
2020-11-05;7663;6514;5528;4684;3961
2020-11-06;7586;6384;5362;4496;3763
2020-11-07;7511;6256;5202;4316;3575
2020-11-08;7436;6131;5046;4144;3396
2020-11-09;7361;6008;4894;3978;3226
2020-11-10;7288;5888;4747;3819;3065
2020-11-11;7215;5771;4605;3666;2912
2020-11-12;7143;5655;4467;3519;2766
2020-11-13;7071;5542;4333;3379;2628
2020-11-14;7000;5431;4203;3244;2497
2020-11-15;6930;5323;4077;3114;2372
2020-11-16;6861;5216;3954;2989;2253
2020-11-17;6792;5112;3836;2870;2140
2020-11-18;6725;5010;3721;2755;2033
2020-11-19;6657;4909;3609;2645;1932
2020-11-20;6591;4811;3501;2539;1835
2020-11-21;6525;4715;3396;2437;1743
2020-11-22;6460;4621;3294;2340;1656
2020-11-23;6395;4528;3195;2246;1573
2020-11-24;6331;4438;3099;2156;1495
2020-11-25;6268;4349;3006;2070;1420
2020-11-26;6205;4262;2916;1987;1349
2020-11-27;6143;4177;2829;1908;1282
2020-11-28;6082;4093;2744;1832;1217
2020-11-29;6021;4011;2661;1758;1157
2020-11-30;5961;3931;2582;1688;1099
2020-12-01;5901;3852;2504;1620;1044
2020-12-02;5842;3775;2429;1556;992
2020-12-03;5784;3700;2356;1493;942
2020-12-04;5726;3626;2285;1434;895
2020-12-05;5668;3553;2217;1376;850
2020-12-06;5612;3482;2150;1321;808
2020-12-07;5556;3413;2086;1268;767
2020-12-08;5500;3344;2023;1218;729
2020-12-09;5445;3278;1963;1169;693
2020-12-10;5391;3212;1904;1122;658
2020-12-11;5337;3148;1847;1077;625
2020-12-12;5283;3085;1791;1034;594
2020-12-13;5230;3023;1737;993;564
2020-12-14;5178;2963;1685;953;536
2020-12-15;5126;2903;1635;915;509
2020-12-16;5075;2845;1586;878;484
2020-12-17;5024;2788;1538;843;459
2020-12-18;4974;2733;1492;810;436
2020-12-19;4924;2678;1447;777;415
2020-12-20;4875;2624;1404;746;394
2020-12-21;4826;2572;1362;716;374
2020-12-22;4778;2520;1321;688;355
2020-12-23;4730;2470;1281;660;338
2020-12-24;4683;2421;1243;634;321
2020-12-25;4636;2372;1206;608;305
2020-12-26;4590;2325;1169;584;290
2020-12-27;4544;2278;1134;561;275
2020-12-28;4499;2233;1100;538;261
2020-12-29;4454;2188;1067;517;248
2020-12-30;4409;2144;1035;496;236
2020-12-31;4365;2101;1004;476;224
