vrcode;Regio_Naam;Inwoners;regio_vac;GGD_health
VR01;Groningen;586012;Noord;GGD Groningen
VR02;Fryslân;650910;Noord;GGD Fryslân
VR03;Drenthe;494402;Noord;GGD Drenthe
VR04;IJsselland;533723;Noord;GGD IJsselland
VR05;Twente;631940;Noord;GGD Regio Twente
VR06;Noord- en Oost-Gelderland;830435;Niet-Noord;GGD Noord en Oost Gelderland
VR07;Gelderland-Midden;700337;Niet-Noord;GGD Gelderland-Midden
VR08;Gelderland-Zuid;563748;Niet-Noord;GGD Gelderland-Zuid
VR09;Utrecht;1360757;Niet-Noord;GGD regio Utrecht
VR10;Noord-Holland Noord;664990;Noord;GGD Hollands Noorden
VR11;Zaanstreek-Waterland;339967;Noord;GGD Zaanstreek-Waterland
VR12;Kennemerland;551822;Noord;GGD Kennemerland
VR13;Amsterdam-Amstelland;1070864;Noord;GGD Amsterdam
VR14;Gooi en Vechtstreek;258888;Noord;GGD Gooi en Vechtstreek
VR15;Haaglanden;1121630;Niet-Noord;GGD Haaglanden
VR16;Hollands Midden;812714;Niet-Noord;GGD Hollands Midden
VR17;Rotterdam-Rijnmond;1327268;Niet-Noord;GGD Rotterdam Rijnmond
VR18;Zuid-Holland Zuid;460744;Niet-Noord;Dienst Gezondheid & Jeugd ZHZ
VR19;Zeeland;384916;Niet-Noord;GGD Zeeland
VR20;Midden- en West-Brabant;1122871;Niet-Noord;GGD West Brabant
VR21;Brabant-Noord;666252;Niet-Noord;GGD Hart voor Brabant
VR22;Brabant-Zuidoost;783534;Niet-Noord;GGD Brabant Zuid-Oost 
VR23;Limburg-Noord;521294;Niet-Noord;GGD Limburg Noord
VR24;Zuid-Limburg;594557;Niet-Noord;GGD Zuid Limburg
VR25;Flevoland;426968;Noord;GGD Flevoland
