"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten inclusief",233511,52.9,14579,57.9
"niet-samenwonende partner)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",108096,24.5,4803,19.1
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",68006,15.4,3622,14.4
"School en kinderopvang",21642,4.9,2569,10.2
"Verpleeghuis of woonzorgcentrum voor ouderen4",25208,5.7,148,0.6
"Vrijetijdsbesteding, zoals sportclub",2491,0.6,136,0.5
"2e lijn gezondheidszorg / ziekenhuis",5450,1.2,130,0.5
"Overige gezondheidszorg",4487,1,114,0.5
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1835,0.4,95,0.4
"Overige woonvoorziening",2839,0.6,89,0.4
"Woonvoorziening voor mensen met een beperking",5506,1.2,88,0.3
"Studentenvereniging/-activiteiten",526,0.1,42,0.2
"1e lijn gezondheidszorg / huisarts",1555,0.4,51,0.2
"Dagopvang voor ouderen en mensen met een",1539,0.3,47,0.2
"beperking",NA,NA,NA,NA
"Uitvaart",1625,0.4,43,0.2
"Medereiziger / reis / vakantie",628,0.1,23,0.1
"Horeca",448,0.1,26,0.1
"Religieuze bijeenkomsten",1128,0.3,29,0.1
"Overige dagopvang",517,0.1,22,0.1
"Vlucht",260,0.1,11,0
"Koor",95,0,4,0
"Hospice",136,0,9,0
"Overig",5540,1.3,407,1.6
