"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Thuissituatie (huisgenoten en partner, niet",174974,53.3,20196,54.6
"samenwonend)",NA,NA,NA,NA
"Bezoek in de thuissituatie (van of bij familie,",64121,19.5,8717,23.6
"vrienden, enz.)",NA,NA,NA,NA
"Werksituatie",48989,14.9,5546,15
"Verpleeghuis of woonzorgcentrum voor ouderen4",18600,5.7,1975,5.3
"School en kinderopvang",21461,6.5,1205,3.3
"Woonvoorziening voor mensen met een beperking",3989,1.2,465,1.3
"2e lijn gezondheidszorg / ziekenhuis",4398,1.3,430,1.2
"Overige gezondheidszorg",3294,1,385,1
"Overige woonvoorziening",1968,0.6,249,0.7
"Religieuze bijeenkomsten",1495,0.5,171,0.5
"Vrijetijdsbesteding, zoals sportclub",6366,1.9,164,0.4
"Dagopvang voor ouderen en mensen met een",1046,0.3,131,0.4
"beperking",NA,NA,NA,NA
"1e lijn gezondheidszorg / huisarts",1121,0.3,113,0.3
"Feest (feest, verjaardag, borrel, bruiloft, enz.)",1225,0.4,56,0.2
"Uitvaart",955,0.3,86,0.2
"Medereiziger / reis / vakantie",1068,0.3,41,0.1
"Vlucht",243,0.1,25,0.1
"Horeca",2263,0.7,45,0.1
"Studentenvereniging/-activiteiten",755,0.2,32,0.1
"Overige dagopvang",366,0.1,46,0.1
"Hospice",378,0.1,38,0.1
"Koor",174,0.1,13,0
"Overig",3965,1.2,265,0.7
