"tested_total","infected","infected_percentage","date","fact"
1555,73,4.7,2020-06-01,9400
4189,138,3.3,2020-06-02,6600
5754,147,2.6,2020-06-03,5200
6654,154,2.3,2020-06-04,4600
7219,150,2.1,2020-06-05,4200
7325,146,2,2020-06-06,4000
6983,141,2,2020-06-07,4000
8065,147,1.8,2020-06-08,3600
8546,135,1.6,2020-06-09,3200
8671,132,1.5,2020-06-10,3000
8678,127,1.5,2020-06-11,3000
8564,126,1.5,2020-06-12,3000
8308,125,1.5,2020-06-13,3000
8165,121,1.5,2020-06-14,3000
8324,124,1.5,2020-06-15,3000
8430,120,1.4,2020-06-16,2800
8523,110,1.3,2020-06-17,2600
8636,101,1.2,2020-06-18,2400
8758,94,1.1,2020-06-19,2200
8761,87,1,2020-06-20,2000
8811,81,0.9,2020-06-21,1800
8960,71,0.8,2020-06-22,1600
8975,70,0.8,2020-06-23,1600
8855,69,0.8,2020-06-24,1600
8884,66,0.7,2020-06-25,1400
8803,64,0.7,2020-06-26,1400
8775,62,0.7,2020-06-27,1400
8765,61,0.7,2020-06-28,1400
8828,61,0.7,2020-06-29,1400
8979,56,0.6,2020-06-30,1200
9295,57,0.6,2020-07-01,1200
9394,57,0.6,2020-07-02,1200
9558,59,0.6,2020-07-03,1200
9621,56,0.6,2020-07-04,1200
9623,54,0.6,2020-07-05,1200
9669,52,0.5,2020-07-06,1000
9687,52,0.5,2020-07-07,1000
9862,49,0.5,2020-07-08,1000
10149,53,0.5,2020-07-09,1000
10428,54,0.5,2020-07-10,1000
10632,62,0.6,2020-07-11,1200
10722,66,0.6,2020-07-12,1200
10839,73,0.7,2020-07-13,1400
10987,81,0.7,2020-07-14,1400
11006,96,0.9,2020-07-15,1800
11180,103,0.9,2020-07-16,1800
11616,114,1,2020-07-17,2000
12117,121,1,2020-07-18,2000
12661,132,1,2020-07-19,2000
12988,144,1.1,2020-07-20,2200
13403,150,1.1,2020-07-21,2200
14009,150,1.1,2020-07-22,2200
14521,152,1,2020-07-23,2000
15003,159,1.1,2020-07-24,2200
15460,163,1.1,2020-07-25,2200
15932,171,1.1,2020-07-26,2200
16428,182,1.1,2020-07-27,2200
16751,204,1.2,2020-07-28,2400
16823,228,1.4,2020-07-29,2800
16670,266,1.6,2020-07-30,3200
16063,301,1.9,2020-07-31,3800
15210,321,2.1,2020-08-01,4200
14515,345,2.4,2020-08-02,4800
14103,385,2.7,2020-08-03,5400
13811,423,3.1,2020-08-04,6200
13542,458,3.4,2020-08-05,6800
13303,477,3.6,2020-08-06,7200
13501,501,3.7,2020-08-07,7400
13829,516,3.7,2020-08-08,7400
14110,527,3.7,2020-08-09,7400
14524,556,3.8,2020-08-10,7600
14322,562,3.9,2020-08-11,7800
14197,568,4,2020-08-12,8000
14405,566,3.9,2020-08-13,7800
14582,558,3.8,2020-08-14,7600
14869,552,3.7,2020-08-15,7400
15146,549,3.6,2020-08-16,7200
15091,519,3.4,2020-08-17,6800
15748,507,3.2,2020-08-18,6400
16661,492,3,2020-08-19,6000
17422,481,2.8,2020-08-20,5600
18200,474,2.6,2020-08-21,5200
18871,487,2.6,2020-08-22,5200
19401,486,2.5,2020-08-23,5000
20120,480,2.4,2020-08-24,4800
20804,472,2.3,2020-08-25,4600
21087,469,2.2,2020-08-26,4400
21387,470,2.2,2020-08-27,4400
21663,480,2.2,2020-08-28,4400
21924,475,2.2,2020-08-29,4400
22340,489,2.2,2020-08-30,4400
22397,498,2.2,2020-08-31,4400
22697,514,2.3,2020-09-01,4600
23145,546,2.4,2020-09-02,4800
23531,579,2.5,2020-09-03,5000
24014,622,2.6,2020-09-04,5200
24613,678,2.8,2020-09-05,5600
