"X","Vanaf.6.juli","X.1","Afgelopen.week3"
"Setting","Aantal %",NA,"Aantal %"
"Thuissituatie (huisgenoten)","29125 57.1",NA,"7582 62.6"
"Overige familie","5603 11.0",NA,"1272 10.5"
"Partner, niet samenwonend4","114 0.2",NA,"15 0.1"
"Kennissen en vrienden4","2634 5.2",NA,"479 4.0"
"Werksituatie","5928 11.6",NA,"1493 12.3"
"School en kinderopvang","1810 3.5",NA,"487 4.0"
"Medereiziger / reis / vakantie4","1164 2.3",NA,"54 0.4"
"Vlucht4","51 0.1",NA,"2 0.0"
"Horeca5","1620 3.2",NA,"170 1.4"
"Feest / verjaardag / borrel4","639 1.3",NA,"37 0.3"
"Studentenvereniging/-activiteiten4","379 0.7",NA,"27 0.2"
"Vrijetijdsbesteding, zoals sportclub","1982 3.9",NA,"416 3.4"
"Religieuze bijeenkomsten","113 0.2",NA,"27 0.2"
"Koor","48 0.1",NA,"8 0.1"
"1e lijn gezondheidszorg / huisarts","166 0.3",NA,"35 0.3"
"2e lijn gezondheidszorg / ziekenhuis","602 1.2",NA,"159 1.3"
"Overige gezondheidszorg","291 0.6",NA,"65 0.5"
"Verpleeghuis","3237 6.3",NA,"933 7.7"
"Woonzorgcentrum voor ouderen","944 1.9",NA,"192 1.6"
"Woonvoorziening voor verstandelijk beperkten","412 0.8",NA,"73 0.6"
"Woonvoorziening voor lichamelijk beperkten","84 0.2",NA,"17 0.1"
"Overige woonvoorziening","204 0.4",NA,"37 0.3"
"Dagopvang voor ouderen","46 0.1",NA,"10 0.1"
"Dagopvang voor verstandelijk beperkten","41 0.1",NA,"11 0.1"
"Dagopvang voor lichamelijk beperkten","8 0.0",NA,"1 0.0"
"Overige dagopvang","44 0.1",NA,"6 0.0"
"Hospice","10 0.0",NA,"3 0.0"
"Uitvaart4","51 0.1",NA,"14 0.1"
