"date","ic_capacity"
2021-07-31,NA
2021-08-01,NA
2021-08-02,928
2021-08-03,924
2021-08-04,909
2021-08-05,910
2021-08-06,904
2021-08-07,895
2021-08-08,892
2021-08-09,889
2021-08-10,927
2021-08-11,905
2021-08-12,888
2021-08-13,890
2021-08-14,887
2021-08-15,875
2021-08-16,889
2021-08-17,893
2021-08-18,889
2021-08-19,896
2021-08-20,894
2021-08-21,897
2021-08-22,884
2021-08-23,899
2021-08-24,912
2021-08-25,913
2021-08-26,919
2021-08-27,914
2021-08-28,924
2021-08-29,918
2021-08-30,914
2021-08-31,932
2021-09-01,944
2021-09-02,939
2021-09-03,937
2021-09-04,926
2021-09-05,914
2021-09-06,935
2021-09-07,941
2021-09-08,939
2021-09-09,941
2021-09-10,932
2021-09-11,926
2021-09-12,913
2021-09-13,935
2021-09-14,935
2021-09-15,925
2021-09-16,955
2021-09-17,943
2021-09-18,933
2021-09-19,932
2021-09-20,942
2021-09-21,949
2021-09-22,949
2021-09-23,955
2021-09-24,954
2021-09-25,946
2021-09-26,936
2021-09-27,948
2021-09-28,962
2021-09-29,954
2021-09-30,963
2021-10-01,963
2021-10-02,964
2021-10-03,940
2021-10-04,943
2021-10-05,980
2021-10-06,969
2021-10-07,971
2021-10-08,963
2021-10-09,966
2021-10-10,937
2021-10-11,956
2021-10-12,966
2021-10-13,968
2021-10-14,961
2021-10-15,968
2021-10-16,958
2021-10-17,944
2021-10-18,948
2021-10-19,961
2021-10-20,957
2021-10-21,962
2021-10-22,1008
2021-10-23,938
2021-10-24,942
2021-10-25,953
2021-10-26,961
2021-10-27,973
2021-10-28,967
2021-10-29,967
2021-10-30,947
2021-10-31,945
2021-11-01,956
2021-11-02,981
2021-11-03,984
2021-11-04,999
2021-11-05,987
2021-11-06,981
2021-11-07,972
2021-11-08,985
2021-11-09,1000
2021-11-10,1000
2021-11-11,1008
2021-11-12,994
2021-11-13,1005
2021-11-14,994
2021-11-15,1004
2021-11-16,1016
2021-11-17,1016
2021-11-18,1038
2021-11-19,1035
2021-11-20,1025
2021-11-21,1013
2021-11-22,1055
