vac.group,number.in.group,Eerste prik,Tweede prik,people_fully_vaccinated,vaccin.type,Percentage eerste prik,Percentage tweede prik
91+,92666,68119,66304,59420,COM,74,72
86-90,222615,188741,185210,167105,COM,85,83
81-85,411895,376084,369977,319766,COM,91,90
76-80,618051,571659,561105,86637,COM,92,91
71-75,929092,857059,831658,3597,COM,92,90
66-70,987575,796803,763467,6199,COM,81,77
61-65,1117798,135322,136897,32415,,12,12
56-60,1250592,1014679,937184,37814,,81,75
51-55,1281826,1018528,725403,,,79,57
46-50,1186068,864316,763301,,,73,64
41-45,1022008,748162,604149,,,73,59
36-40,1045828,707652,596004,,,68,57
31-35,1102103,694952,561882,,,63,51
26-30,1138965,670142,505562,,,59,44
18-25,1539730,1081831,686825,,,70,45
12-17,1171648,561747,268403,,,48,23
