"dateInTable";"cases";"dead";"MACases";"MAdead";"ma_c_lag";"ma_c_lead";"gf_c";"ma_d_lag";"ma_d_lead";"gf_d"
"2020-02-28";1;0;0;0;NA;0;NA;NA;0;NA
"2020-02-29";1;0;0;0;NA;0;NA;NA;0;NA
"2020-03-01";3;0;0;0;NA;0;NA;NA;0;NA
"2020-03-02";5;0;0;0;NA;5,85714285714286;NA;NA;0;NA
"2020-03-03";4;0;0;0;NA;11,4285714285714;NA;NA;0;NA
"2020-03-04";10;0;0;0;NA;18,4285714285714;NA;NA;0,142857142857143;NA
"2020-03-05";17;0;5,85714285714286;0;NA;22,5714285714286;NA;NA;0,285714285714286;NA
"2020-03-06";40;0;11,4285714285714;0;0;30,5714285714286;Inf;0;0,428571428571429;NA
"2020-03-07";50;1;18,4285714285714;0,142857142857143;0;48,5714285714286;Inf;0;0,428571428571429;Inf
"2020-03-08";32;1;22,5714285714286;0,285714285714286;0;64,7142857142857;Inf;0;0,571428571428571;Inf
"2020-03-09";61;1;30,5714285714286;0,428571428571429;0;80,4285714285714;Inf;0;0,571428571428571;Inf
"2020-03-10";130;0;48,5714285714286;0,428571428571429;0;90,8571428571429;Inf;0;1;Inf
"2020-03-11";123;1;64,7142857142857;0,571428571428571;0;115;Inf;0;1,28571428571429;Inf
"2020-03-12";127;0;80,4285714285714;0,571428571428571;5,85714285714286;135,142857142857;1273,2;0;2,14285714285714;Inf
"2020-03-13";113;3;90,8571428571429;1;11,4285714285714;165;695;0;2,57142857142857;Inf
"2020-03-14";219;3;115;1,28571428571429;18,4285714285714;187,571428571429;524;0,142857142857143;5,14285714285714;800
"2020-03-15";173;7;135,142857142857;2,14285714285714;22,5714285714286;219,571428571429;498,7;0,285714285714286;7,28571428571429;650
"2020-03-16";270;4;165;2,57142857142857;30,5714285714286;258;439,7;0,428571428571429;10,2857142857143;500
"2020-03-17";288;18;187,571428571429;5,14285714285714;48,5714285714286;318;286,2;0,428571428571429;14;1100
"2020-03-18";347;16;219,571428571429;7,28571428571429;64,7142857142857;377,714285714286;239,3;0,571428571428571;18;1175
"2020-03-19";396;21;258;10,2857142857143;80,4285714285714;439,428571428571;220,8;0,571428571428571;23,1428571428571;1700
"2020-03-20";533;29;318;14;90,8571428571429;479,857142857143;250;1;27,1428571428571;1300
"2020-03-21";637;31;377,714285714286;18;115;545,714285714286;228,4;1,28571428571429;33,4285714285714;1300
"2020-03-22";605;43;439,428571428571;23,1428571428571;135,142857142857;616,571428571429;225,2;2,14285714285714;42,5714285714286;980
"2020-03-23";553;32;479,857142857143;27,1428571428571;165;703,857142857143;190,8;2,57142857142857;50,2857142857143;955,6
"2020-03-24";749;62;545,714285714286;33,4285714285714;187,571428571429;794,428571428571;190,9;5,14285714285714;62,4285714285714;550
"2020-03-25";843;80;616,571428571429;42,5714285714286;219,571428571429;867,142857142857;180,8;7,28571428571429;70,7142857142857;484,3
"2020-03-26";1007;75;703,857142857143;50,2857142857143;258;936,714285714286;172,8;10,2857142857143;82,4285714285714;388,9
"2020-03-27";1167;114;794,428571428571;62,4285714285714;318;982,428571428571;149,8;14;90,7142857142857;345,9
"2020-03-28";1146;89;867,142857142857;70,7142857142857;377,714285714286;994,571428571429;129,6;18;106,428571428571;292,9
"2020-03-29";1092;125;936,714285714286;82,4285714285714;439,428571428571;1018,14285714286;113,2;23,1428571428571;114,142857142857;256,2
"2020-03-30";873;90;982,428571428571;90,7142857142857;479,857142857143;1029;104,7;27,1428571428571;126,857142857143;234,2
"2020-03-31";834;172;994,571428571429;106,428571428571;545,714285714286;1008;82,3;33,4285714285714;130,857142857143;218,4
"2020-04-01";1008;134;1018,14285714286;114,142857142857;616,571428571429;987,428571428571;65,1;42,5714285714286;143,428571428571;168,1
"2020-04-02";1083;164;1029;126,857142857143;703,857142857143;988,428571428571;46,2;50,2857142857143;140,571428571429;152,3
"2020-04-03";1020;142;1008;130,857142857143;794,428571428571;998,714285714286;26,9;62,4285714285714;142,142857142857;109,6
"2020-04-04";1002;177;987,428571428571;143,428571428571;867,142857142857;991,285714285714;13,9;70,7142857142857;150,714285714286;102,8
"2020-04-05";1099;105;988,428571428571;140,571428571429;936,714285714286;984,285714285714;5,5;82,4285714285714;152,714285714286;70,5
"2020-04-06";945;101;998,714285714286;142,142857142857;982,428571428571;1002,14285714286;1,7;90,7142857142857;150;56,7
"2020-04-07";782;232;991,285714285714;150,714285714286;994,571428571429;1046;-0,3;106,428571428571;146;41,6
"2020-04-08";959;148;984,285714285714;152,714285714286;1018,14285714286;1088,71428571429;-3,3;114,142857142857;139,857142857143;33,8
"2020-04-09";1208;145;1002,14285714286;150;1029;1099;-2,6;126,857142857143;138,285714285714;18,2
"2020-04-10";1327;114;1046;146;1008;1101;3,8;130,857142857143;136;11,6
"2020-04-11";1301;134;1088,71428571429;139,857142857143;987,428571428571;1112,42857142857;10,3;143,428571428571;120,285714285714;-2,5
"2020-04-12";1171;94;1099;138,285714285714;988,428571428571;1079,71428571429;11,2;140,571428571429;125,571428571429;-1,6
"2020-04-13";959;85;1101;136;998,714285714286;1059,85714285714;10,2;142,142857142857;131,285714285714;-4,3
"2020-04-14";862;122;1112,42857142857;120,285714285714;991,285714285714;1046,57142857143;12,2;150,714285714286;135,571428571429;-20,2
"2020-04-15";730;185;1079,71428571429;125,571428571429;984,285714285714;1030,14285714286;9,7;152,714285714286;137;-17,8
"2020-04-16";1069;185;1059,85714285714;131,285714285714;1002,14285714286;1009;5,8;150;135;-12,5
"2020-04-17";1234;144;1046,57142857143;135,571428571429;1046;978,857142857143;0,1;146;132,142857142857;-7,1
"2020-04-18";1186;144;1030,14285714286;137;1088,71428571429;958;-5,4;139,857142857143;137,857142857143;-2
