date;infected;seroprevlence;Pfizer - vaccinated;Pfizer;Moderna - vaccinated;moderna;AstraZeneca - vaccinated;Azeneca;CureVac-vaccinated;CureVac;Janssen - vaccinated;Janssen;Sanofi - vaccinated;Sanofi;total.vaccinated;total.pop;a60p;a70p;a80p;a90p
27/12/2020;750000;1700000;0;0;0;;0;;0;;0;;0;;0;17461543;10476926;12223080;13969234;15715389
28/12/2020;750000;1700000;21815,625;43631,25;0;;0;;0;;0;;0;;21816;17461543;10476926;12223080;13969234;15715389
29/12/2020;750000;1700000;43631,25;87262,5;0;;0;;0;;0;;0;;43631;17461543;10476926;12223080;13969234;15715389
30/12/2020;750000;1700000;65446,875;130893,75;0;;0;;0;;0;;0;;65447;17461543;10476926;12223080;13969234;15715389
31/12/2020;750000;1700000;82387,5;164775;0;;0;;0;;0;;0;;87263;17461543;10476926;12223080;13969234;15715389
01/01/2021;750000;1700000;91417,25806;182834,5161;0;0;0;;0;0;0;;0;;97893;17461543;10476926;12223080;13969234;15715389
02/01/2021;750000;1700000;100447,0161;200894,0323;0;0;0;;0;0;0;;0;;108524;17461543;10476926;12223080;13969234;15715389
03/01/2021;750000;1700000;109476,7742;218953,5484;0;0;0;;0;0;0;;0;;119154;17461543;10476926;12223080;13969234;15715389
04/01/2021;750000;1700000;118506,5323;237013,0645;0;0;0;;0;0;0;;0;;129785;17461543;10476926;12223080;13969234;15715389
05/01/2021;750000;1700000;127536,2903;255072,5806;0;0;0;;0;0;0;;0;;140416;17461543;10476926;12223080;13969234;15715389
06/01/2021;750000;1700000;136566,0484;273132,0968;0;0;0;;0;0;0;;0;;151046;17461543;10476926;12223080;13969234;15715389
07/01/2021;750000;1700000;145595,8065;291191,6129;0;0;0;;0;0;0;;0;;161677;17461543;10476926;12223080;13969234;15715389
08/01/2021;750000;1700000;154625,5645;309251,129;0;0;0;;0;0;0;;0;;172308;17461543;10476926;12223080;13969234;15715389
09/01/2021;750000;1700000;163655,3226;327310,6452;0;0;0;;0;0;0;;0;;182938;17461543;10476926;12223080;13969234;15715389
10/01/2021;750000;1700000;172685,0806;345370,1613;0;0;0;;0;0;0;;0;;193569;17461543;10476926;12223080;13969234;15715389
11/01/2021;750000;1700000;181714,8387;363429,6774;2500;5000;0;;0;0;0;;0;;206700;17461543;10476926;12223080;13969234;15715389
12/01/2021;750000;1700000;190744,5968;381489,1935;5000;10000;0;;0;0;0;;0;;219830;17461543;10476926;12223080;13969234;15715389
