"date","geleverd","AstraZeneca","Pfizer","Moderna","totaal_gezet"
2021-01-03,0,0,0,0,0
2021-01-10,197730,0,35500,0,35500
2021-01-17,346320,0,86804,0,86804
2021-01-24,544380,0,160538,0,160538
2021-01-31,636810,0,331531,12350,343881
2021-02-07,847890,0,551886,19475,571361
2021-02-14,1086210,0,758526,25080,783606
2021-02-21,1378770,63170,888040,63080,1014290
2021-02-28,1732860,187107,1084583,64980,1336670
2021-03-07,2153320,262400,1261930,95760,1620090
2021-03-14,2578060,350284,1438950,103455,1892689
2021-03-21,2891890,350284,1646430,135128,2131842
2021-03-28,3307000,350284,1813896,194788,2358968
2021-04-04,3714089,689867,2027675,219298,2936840
2021-04-11,4370800,1060602,2255162,261051,3576815
2021-04-18,5095065,1267118,2743129,265934,4276181
