"dateInTable","dead","cases","hosp","MACases","MAhosp","MAdead","ma_c_lag","ma_c_lead","gf_c","ma_h_lag","ma_h_lead","gf_h","ma_d_lag","ma_d_lead","gf_d"
"2020-02-27",0,0,1,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA
"2020-02-28",0,1,0,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA
"2020-02-29",0,1,1,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA
"2020-03-01",0,3,0,0,0,0,NA,3.42857142857143,NA,NA,0.571428571428571,NA,NA,0,NA
"2020-03-02",0,5,0,0,0,0,NA,5.85714285714286,NA,NA,0.857142857142857,NA,NA,0,NA
"2020-03-03",0,4,1,0,0,0,NA,11.4285714285714,NA,NA,1.57142857142857,NA,NA,0,NA
"2020-03-04",0,10,1,3.42857142857143,0.571428571428571,0,NA,18.4285714285714,NA,NA,2.42857142857143,NA,NA,0.142857142857143,NA
"2020-03-05",0,17,3,5.85714285714286,0.857142857142857,0,0,22.5714285714286,Inf,0,4,Inf,0,0.285714285714286,NA
"2020-03-06",0,40,5,11.4285714285714,1.57142857142857,0,0,30.5714285714286,Inf,0,4.71428571428571,Inf,0,0.428571428571429,NA
"2020-03-07",1,50,7,18.4285714285714,2.42857142857143,0.142857142857143,0,48.5714285714286,Inf,0,5.85714285714286,Inf,0,0.428571428571429,Inf
"2020-03-08",1,32,11,22.5714285714286,4,0.285714285714286,0,64.7142857142857,Inf,0,8.14285714285714,Inf,0,0.571428571428571,Inf
"2020-03-09",1,61,5,30.5714285714286,4.71428571428571,0.428571428571429,0,80.4285714285714,Inf,0,10.8571428571429,Inf,0,0.571428571428571,Inf
"2020-03-10",0,130,9,48.5714285714286,5.85714285714286,0.428571428571429,0,90.8571428571429,Inf,0,13.4285714285714,Inf,0,0.857142857142857,Inf
"2020-03-11",1,123,17,64.7142857142857,8.14285714285714,0.571428571428571,3.42857142857143,115,1787.5,0.571428571428571,16.4285714285714,1325,0,1.28571428571429,Inf
"2020-03-12",0,127,22,80.4285714285714,10.8571428571429,0.571428571428571,5.85714285714286,135.142857142857,1273.2,0.857142857142857,18.2857142857143,1166.7,0,2.14285714285714,Inf
"2020-03-13",2,113,23,90.8571428571429,13.4285714285714,0.857142857142857,11.4285714285714,165,695,1.57142857142857,23.2857142857143,754.5,0,2.57142857142857,Inf
"2020-03-14",4,219,28,115,16.4285714285714,1.28571428571429,18.4285714285714,187.571428571429,524,2.42857142857143,37,576.5,0.142857142857143,5,800
"2020-03-15",7,173,24,135.142857142857,18.2857142857143,2.14285714285714,22.5714285714286,219.571428571429,498.7,4,47.5714285714286,357.1,0.285714285714286,7,650
"2020-03-16",4,270,40,165,23.2857142857143,2.57142857142857,30.5714285714286,258,439.7,4.71428571428571,54.8571428571429,393.9,0.428571428571429,10.2857142857143,500
"2020-03-17",17,288,105,187.571428571429,37,5,48.5714285714286,318,286.2,5.85714285714286,71.7142857142857,531.7,0.428571428571429,14,1066.7
"2020-03-18",15,347,91,219.571428571429,47.5714285714286,7,64.7142857142857,377.714285714286,239.3,8.14285714285714,96.2857142857143,484.2,0.571428571428571,17.7142857142857,1125
"2020-03-19",23,396,73,258,54.8571428571429,10.2857142857143,80.4285714285714,439.428571428571,220.8,10.8571428571429,115.857142857143,405.3,0.571428571428571,23,1700
"2020-03-20",28,533,141,318,71.7142857142857,14,90.8571428571429,479.857142857143,250,13.4285714285714,142.857142857143,434,0.857142857142857,27,1533.3
"2020-03-21",30,637,200,377.714285714286,96.2857142857143,17.7142857142857,115,545.714285714286,228.4,16.4285714285714,162.857142857143,486.1,1.28571428571429,33.4285714285714,1277.8
"2020-03-22",44,605,161,439.428571428571,115.857142857143,23,135.142857142857,616.571428571429,225.2,18.2857142857143,196.285714285714,533.6,2.14285714285714,42.1428571428571,973.3
"2020-03-23",32,553,229,479.857142857143,142.857142857143,27,165,703.857142857143,190.8,23.2857142857143,231.142857142857,513.5,2.57142857142857,49,950
