"<50","0-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-89","90+","date","Unknown"
"0","15","389","820","469","507","554","277","130","67","24","2020-10-01","0"
"0","15","485","918","611","582","615","323","172","67","37","2020-10-02","0"
"0","16","503","1057","606","557","676","276","156","95","25","2020-10-03","0"
"0","17","488","967","576","615","693","348","164","109","25","2020-10-04","1"
"0","17","570","1081","687","708","753","408","207","112","37","2020-10-05","-1"
"0","22","587","1034","685","688","799","391","181","104","34","2020-10-06","3"
"1","21","569","1107","786","788","877","450","223","128","38","2020-10-07","1"
"0","30","636","1282","899","874","1044","559","283","156","55","2020-10-08","4"
"0","22","692","1412","924","898","985","574","249","157","54","2020-10-09","4"
"1","29","760","1375","939","985","1195","642","302","204","66","2020-10-10","1"
"1","40","752","1362","925","989","1107","614","328","169","81","2020-10-11","5"
"0","32","829","1414","1050","1098","1175","699","347","163","39","2020-10-12","-1"
"0","40","966","1521","1125","1167","1286","739","348","152","28","2020-10-13","6"
"0","41","832","1520","1128","1103","1328","728","363","186","51","2020-10-14","7"
"0","55","886","1590","1161","1165","1375","781","485","225","65","2020-10-15","3"
"1","54","939","1571","1156","1314","1390","846","439","213","60","2020-10-16","1"
"0","50","919","1647","1268","1343","1385","762","449","214","76","2020-10-17","1"
"0","43","927","1632","1335","1342","1387","781","409","232","90","2020-10-18","4"
"0","44","970","1502","1186","1301","1474","774","425","247","62","2020-10-19","7"
"0","50","949","1657","1238","1358","1444","730","434","246","58","2020-10-20","1"
"0","55","1017","1667","1360","1371","1624","865","448","254","70","2020-10-21","12"
"0","55","981","1822","1366","1516","1692","933","463","347","95","2020-10-22","1"
"0","63","1026","1959","1524","1545","1804","1047","568","338","118","2020-10-23","4"
"0","65","892","1671","1288","1412","1531","840","522","320","105","2020-10-24","5"
"0","73","1114","1957","1578","1615","1822","1031","603","304","99","2020-10-25","6"
"1","75","1156","1921","1570","1602","1910","1030","612","352","110","2020-10-26","4"
"1","73","1133","1851","1614","1718","1887","1067","582","270","90","2020-10-27","6"
"0","43","866","1456","1212","1301","1463","906","459","302","93","2020-10-28","1"
"0","67","1088","1791","1514","1603","1942","1097","600","421","135","2020-10-29","6"
"0","83","1347","1947","1656","1707","2026","1163","643","398","156","2020-10-30","-7"
"1","59","1107","1698","1391","1551","1819","1047","604","407","120","2020-10-31","0"
"0","55","961","1502","1334","1355","1539","895","546","400","97","2020-11-01","-1"
"0","61","946","1448","1222","1262","1499","892","494","336","130","2020-11-02","-4"
"1","68","849","1333","1126","1214","1470","842","471","274","97","2020-11-03","-2"
"0","57","869","1345","1076","1228","1376","798","485","328","73","2020-11-04","-2"
"1","54","780","1180","982","1098","1272","714","445","331","111","2020-11-05","-3"
"1","51","816","1318","1105","1045","1278","721","469","345","93","2020-11-06","0"
"0","60","764","1159","957","968","1195","726","425","334","85","2020-11-07","-2"
"1","58","676","1018","845","840","986","626","319","223","73","2020-11-08","-1"
"1","36","522","753","708","710","881","521","299","191","59","2020-11-09","-1"
"0","37","539","792","678","795","843","523","249","165","49","2020-11-10","-3"
"0","44","650","908","762","861","1010","569","317","208","78","2020-11-11","0"
"0","52","695","945","805","880","932","677","321","230","97","2020-11-12","0"
"1","62","790","1020","926","958","997","621","376","264","76","2020-11-13","0"
"2","64","750","995","837","889","1013","631","375","278","81","2020-11-14","-1"
"0","70","711","884","743","822","971","566","326","253","68","2020-11-15","-1"
"0","51","670","826","692","732","880","490","274","146","70","2020-11-16","-1"
"1","41","558","721","637","681","763","439","230","168","63","2020-11-17","0"
