"<50";"50-59";"60-69";"70-79";"80-89";"90+";"date"
"0";"1";"0";"3";"6";"3";"2020-10-01"
"0";"1";"1";"1";"2";"4";"2020-10-02"
"0";"1";"0";"3";"10";"7";"2020-10-03"
"0";"0";"1";"2";"0";"2";"2020-10-04"
"0";"1";"0";"2";"1";"3";"2020-10-05"
"0";"0";"1";"2";"12";"6";"2020-10-06"
"1";"0";"2";"7";"15";"11";"2020-10-07"
"0";"0";"1";"4";"2";"6";"2020-10-08"
"0";"0";"1";"3";"6";"3";"2020-10-09"
"1";"0";"1";"5";"12";"4";"2020-10-10"
"1";"1";"2";"7";"4";"2";"2020-10-11"
"0";"2";"3";"2";"4";"1";"2020-10-12"
"0";"0";"2";"6";"21";"6";"2020-10-13"
"0";"0";"3";"11";"12";"6";"2020-10-14"
"0";"2";"0";"3";"20";"4";"2020-10-15"
"1";"0";"2";"4";"6";"3";"2020-10-16"
"0";"0";"2";"6";"17";"3";"2020-10-17"
"0";"1";"0";"2";"10";"1";"2020-10-18"
"0";"0";"1";"3";"9";"4";"2020-10-19"
"0";"1";"8";"8";"19";"8";"2020-10-20"
"0";"0";"7";"16";"24";"10";"2020-10-21"
"0";"0";"2";"12";"25";"7";"2020-10-22"
"0";"1";"2";"15";"20";"7";"2020-10-23"
"0";"0";"2";"12";"24";"17";"2020-10-24"
"0";"0";"1";"6";"12";"8";"2020-10-25"
"1";"0";"1";"14";"7";"3";"2020-10-26"
"1";"1";"4";"15";"40";"9";"2020-10-27"
"0";"1";"3";"17";"25";"14";"2020-10-28"
"0";"1";"1";"9";"32";"13";"2020-10-29"
"0";"0";"5";"19";"49";"13";"2020-10-30"
"1";"1";"1";"14";"22";"11";"2020-10-31"
"0";"2";"4";"9";"16";"8";"2020-11-01"
"0";"1";"1";"9";"13";"5";"2020-11-02"
"1";"0";"8";"28";"53";"23";"2020-11-03"
"0";"0";"5";"16";"55";"30";"2020-11-04"
"1";"2";"2";"23";"36";"23";"2020-11-05"
"1";"2";"7";"20";"45";"18";"2020-11-06"
"0";"0";"4";"17";"38";"11";"2020-11-07"
"1";"1";"2";"6";"19";"13";"2020-11-08"
"1";"0";"1";"6";"21";"10";"2020-11-09"
"0";"0";"3";"20";"51";"23";"2020-11-10"
"0";"3";"2";"5";"41";"23";"2020-11-11"
"0";"0";"5";"21";"42";"21";"2020-11-12"
"1";"1";"5";"13";"23";"11";"2020-11-13"
"2";"1";"6";"26";"32";"18";"2020-11-14"
"0";"2";"2";"11";"22";"6";"2020-11-15"
"0";"1";"3";"9";"21";"10";"2020-11-16"
"1";"3";"6";"20";"35";"21";"2020-11-17"
"1";"2";"6";"14";"41";"18";"2020-11-18"
"1";"1";"2";"9";"39";"21";"2020-11-19"
"0";"0";"2";"10";"29";"10";"2020-11-20"
"1";"1";"4";"5";"24";"13";"2020-11-21"
"0";"1";"2";"3";"10";"5";"2020-11-22"
"0";"1";"6";"15";"23";"9";"2020-11-23"
"0";"1";"3";"17";"40";"29";"2020-11-24"
"0";"1";"3";"28";"28";"14";"2020-11-25"
"0";"0";"7";"24";"30";"14";"2020-11-26"
"1";"2";"6";"22";"33";"19";"2020-11-27"
"0";"0";"3";"15";"27";"14";"2020-11-28"
"0";"0";"1";"5";"17";"0";"2020-11-29"
"0";"0";"1";"6";"15";"5";"2020-11-30"
"1";"0";"4";"14";"31";"11";"2020-12-01"
"0";"0";"3";"19";"26";"18";"2020-12-02"
"0";"2";"3";"15";"26";"15";"2020-12-03"
"2";"3";"2";"16";"19";"16";"2020-12-04"
"1";"1";"2";"14";"13";"8";"2020-12-05"
"0";"0";"1";"8";"10";"6";"2020-12-06"
"2";"0";"2";"2";"7";"4";"2020-12-07"
"0";"3";"1";"22";"31";"13";"2020-12-08"
"0";"3";"3";"10";"36";"14";"2020-12-09"
"1";"1";"2";"21";"23";"13";"2020-12-10"
"0";"0";"5";"22";"22";"15";"2020-12-11"
"0";"4";"2";"10";"20";"17";"2020-12-12"
"0";"1";"1";"3";"16";"8";"2020-12-13"
"0";"1";"3";"7";"15";"7";"2020-12-14"
"0";"2";"3";"14";"44";"23";"2020-12-15"
"1";"1";"7";"16";"35";"18";"2020-12-16"
"0";"3";"4";"24";"26";"18";"2020-12-17"
"0";"1";"4";"18";"24";"37";"2020-12-18"
"1";"0";"2";"11";"23";"17";"2020-12-19"
"0";"0";"4";"11";"9";"8";"2020-12-20"
"3";"0";"2";"7";"10";"6";"2020-12-21"
"1";"3";"8";"19";"60";"23";"2020-12-22"
"1";"0";"3";"19";"54";"27";"2020-12-23"
"1";"2";"6";"22";"38";"20";"2020-12-24"
"1";"1";"7";"22";"47";"20";"2020-12-25"
"0";"0";"3";"12";"24";"7";"2020-12-26"
"1";"1";"2";"3";"8";"13";"2020-12-27"
"0";"1";"3";"8";"24";"8";"2020-12-28"
"0";"5";"11";"36";"78";"40";"2020-12-29"
"2";"1";"4";"24";"50";"31";"2020-12-30"
"1";"2";"7";"17";"47";"34";"2020-12-31"
"1";"0";"6";"19";"49";"22";"2021-01-01"
"0";"0";"0";"11";"15";"10";"2021-01-02"
"0";"2";"3";"12";"21";"9";"2021-01-03"
"0";"3";"5";"16";"26";"13";"2021-01-04"
"0";"2";"11";"39";"64";"35";"2021-01-05"
"1";"2";"4";"35";"87";"44";"2021-01-06"
"0";"1";"3";"24";"42";"15";"2021-01-07"
"0";"2";"3";"18";"46";"18";"2021-01-08"
"0";"1";"4";"34";"59";"38";"2021-01-09"
"1";"1";"2";"17";"21";"12";"2021-01-10"
"0";"1";"1";"15";"24";"9";"2021-01-11"
"0";"3";"8";"35";"71";"34";"2021-01-12"
"0";"1";"4";"27";"52";"38";"2021-01-13"
"1";"2";"8";"17";"37";"24";"2021-01-14"
"0";"0";"7";"18";"44";"25";"2021-01-15"
"0";"2";"3";"22";"47";"23";"2021-01-16"
"1";"1";"2";"9";"22";"6";"2021-01-17"
"1";"0";"2";"14";"26";"7";"2021-01-18"
"0";"1";"8";"16";"57";"24";"2021-01-19"
"0";"1";"5";"15";"43";"22";"2021-01-20"
"0";"0";"0";"19";"43";"27";"2021-01-21"
"0";"0";"6";"24";"35";"20";"2021-01-22"
"1";"0";"7";"29";"31";"20";"2021-01-23"
"1";"0";"2";"4";"15";"8";"2021-01-24"
"0";"-1";"0";"9";"21";"10";"2021-01-25"
"0";"1";"5";"22";"33";"25";"2021-01-26"
"1";"1";"1";"17";"31";"16";"2021-01-27"
"0";"2";"12";"17";"33";"19";"2021-01-28"
"0";"2";"6";"11";"23";"14";"2021-01-29"
"1";"1";"10";"18";"38";"20";"2021-01-30"
"0";"0";"4";"7";"19";"9";"2021-01-31"
"0";"0";"0";"6";"16";"5";"2021-02-01"
"1";"1";"5";"21";"31";"24";"2021-02-02"
"0";"2";"5";"10";"23";"21";"2021-02-03"
