date_of_update;date;week;total_registerd;total_estimated;people_vaccinated;people_fully_vaccinated;ggd_total;hosp_total;care_total;registerd_new;estimated_new;people_fully_vaccinated_new;ggd_new;hosp_new;care_new
07/01/2021;06/01/2021;1;6000;NA;6000;0;0;6000;0;NA;NA;NA;0;6000;NA
08/01/2021;07/01/2021;1;15000;NA;15000;0;0;15000;0;9000;0;0;0;9000;0
09/01/2021;08/01/2021;1;27000;NA;27000;0;1000;26000;0;12000;0;0;0;11000;0
10/01/2021;09/01/2021;1;30000;NA;30000;0;0;30000;0;3000;0;0;0;4000;0
11/01/2021;10/01/2021;1;31000;NA;31000;0;0;31000;0;1000;0;0;0;1000;0
12/01/2021;11/01/2021;2;35500;NA;35500;0;1500;34000;0;4500;0;0;0;3000;0
13/01/2021;12/01/2021;2;45000;NA;45000;0;7000;38000;0;9500;0;0;5500;4000;0
14/01/2021;13/01/2021;2;47000;NA;47000;0;;39000;0;2000;0;0;0;1000;0
15/01/2021;14/01/2021;2;47000;NA;47000;0;0;40000;0;0;0;0;0;1000;0
16/01/2021;15/01/2021;2;55000;NA;55000;0;15000;0;0;8000;0;0;0;0;0
17/01/2021;16/01/2021;2;55000;NA;55000;0;15000;0;0;0;0;0;0;0;0
18/01/2021;17/01/2021;2;77000;NA;77000;0;37000;0;0;22000;0;0;22000;0;0
19/01/2021;18/01/2021;3;77000;NA;77000;0;37000;0;0;0;0;0;0;0;0
20/01/2021;19/01/2021;3;77000;NA;77000;0;37000;0;0;0;0;0;0;0;0
21/01/2021;20/01/2021;3;100000;NA;100000;0;67388;0;0;23000;0;0;30388;0;0
22/01/2021;21/01/2021;3;100000;NA;100000;0;77317;0;0;0;0;0;9929;0;0
23/01/2021;22/01/2021;3;135000;NA;135000;0;87268;0;0;35000;0;0;9951;0;0
24/01/2021;23/01/2021;3;135000;NA;135000;0;96906;0;0;0;0;0;9638;0;0
25/01/2021;24/01/2021;3;150000;NA;150000;0;106672;0;0;15000;0;0;9766;0;0
26/01/2021;25/01/2021;4;173638;NA;173638;0;116593;40216;16829;23638;0;0;9921;0;16829
27/01/2021;26/01/2021;4;185356;NA;185356;0;128242;40216;16829;11718;0;0;11649;0;0
28/01/2021;27/01/2021;4;203450;NA;197250;6200;140205;46416;16829;18094;0;6200;11963;6200;0
29/01/2021;28/01/2021;4;215498;NA;209298;6200;152253;46416;16829;12048;0;0;12048;0;0
30/01/2021;29/01/2021;4;226298;346790;220098;6200;165626;57216;89416;10800;346790;0;13373;10800;72587
31/01/2021;30/01/2021;4;248055;343881;234555;13500;176848;60716;95826;21757;-2909;7300;11222;3500;6410
01/02/2021;31/01/2021;4;248055;343881;221555;26500;187339;73500;95826;0;0;13000;10491;12784;0
02/02/2021;01/02/2021;5;277275;375908;243275;34000;203559;73716;98633;29220;32027;7500;16220;216;2807
03/02/2021;02/02/2021;5;303702;416093;265702;38000;222486;81216;112391;26427;40185;4000;18927;7500;13758
04/02/2021;03/02/2021;5;330494;454998;292494;38000;245278;85216;124504;26792;38905;0;22792;4000;12113
05/02/2021;04/02/2021;5;356517;495535;317017;39500;269801;86716;139018;26023;40537;1500;24523;1500;14514
