"date_of_update","date","week","total_registerd","total_estimated","people_vaccinated","people_fully_vaccinated","ggd_total","hosp_total","care_total","registerd_new","estimated_new","people_fully_vaccinated_new","ggd_new","hosp_new","care_new"
2021-01-07,2021-01-06,1,6000,NA,6000,0,0,6000,0,NA,NA,NA,0,6000,NA
2021-01-08,2021-01-07,1,15000,NA,15000,0,0,15000,0,9000,0,0,0,9000,0
2021-01-09,2021-01-08,1,27000,NA,27000,0,1000,26000,0,12000,0,0,0,11000,0
2021-01-10,2021-01-09,1,30000,NA,30000,0,0,30000,0,3000,0,0,0,4000,0
2021-01-11,2021-01-10,1,31000,NA,31000,0,0,31000,0,1000,0,0,0,1000,0
2021-01-12,2021-01-11,2,35500,NA,35500,0,1500,34000,0,4500,0,0,0,3000,0
2021-01-13,2021-01-12,2,45000,NA,45000,0,7000,38000,0,9500,0,0,5500,4000,0
2021-01-14,2021-01-13,2,47000,NA,47000,0,NA,39000,0,2000,0,0,0,1000,0
2021-01-15,2021-01-14,2,47000,NA,47000,0,0,40000,0,0,0,0,0,1000,0
2021-01-16,2021-01-15,2,55000,NA,55000,0,15000,0,0,8000,0,0,0,0,0
2021-01-17,2021-01-16,2,55000,NA,55000,0,15000,0,0,0,0,0,0,0,5184
2021-01-18,2021-01-17,2,77000,NA,77000,0,37000,0,0,22000,0,0,22000,0,5184
2021-01-19,2021-01-18,3,77000,NA,77000,0,37000,0,0,0,0,0,0,0,5184
2021-01-20,2021-01-19,3,77000,NA,77000,0,37000,0,0,0,0,0,0,0,5184
2021-01-21,2021-01-20,3,100000,NA,1e+05,0,67388,0,0,23000,0,0,30388,0,5184
2021-01-22,2021-01-21,3,100000,NA,1e+05,0,77317,0,0,0,0,0,9929,0,5184
2021-01-23,2021-01-22,3,135000,NA,135000,0,87268,0,0,35000,0,0,9951,0,5184
2021-01-24,2021-01-23,3,135000,NA,135000,0,96906,0,0,0,0,0,9638,0,5184
2021-01-25,2021-01-24,3,150000,NA,150000,0,106672,0,0,15000,0,0,9766,0,5184
2021-01-26,2021-01-25,4,173638,NA,173638,0,116593,40216,16829,23638,0,0,9921,0,5184
2021-01-27,2021-01-26,4,185356,NA,185356,0,128242,40216,16829,11718,0,0,11649,0,5184
2021-01-28,2021-01-27,4,203450,NA,197250,6200,140205,46416,16829,18094,0,6200,11963,6200,5184
2021-01-29,2021-01-28,4,215498,NA,209298,6200,152253,46416,16829,12048,0,0,12048,0,5184
2021-01-30,2021-01-29,4,226298,346790,220098,6200,165626,57216,89416,10800,346790,0,13373,10800,5184
2021-01-31,2021-01-30,4,248055,343881,234555,13500,176848,60716,95826,21757,-2909,7300,11222,3500,6410
2021-02-01,2021-01-31,4,248055,343881,221555,26500,187339,73500,95826,0,0,13000,10491,12784,0
2021-02-02,2021-02-01,5,277275,375908,243275,34000,203559,73716,98633,29220,32027,7500,16220,216,2807
2021-02-03,2021-02-02,5,303702,416093,265702,38000,222486,81216,112391,26427,40185,4000,18927,7500,13758
2021-02-04,2021-02-03,5,330494,454998,292494,38000,245278,85216,124504,26792,38905,0,22792,4000,12113
2021-02-05,2021-02-04,5,356517,495535,317017,39500,269801,86716,139018,26023,40537,1500,24523,1500,14514
2021-02-06,2021-02-05,5,382975,532717,343475,39500,295159,87816,149742,26458,37182,0,25358,1100,10724
2021-02-07,2021-02-06,5,414198,568863,359198,55000,320982,93216,154665,31223,36146,15500,25823,5400,4923
2021-02-08,2021-02-07,6,414858,571361,504736,66409,321042,93816,156503,660,2498,0,60,600,1838
2021-02-09,2021-02-08,6,434417,595934,379417,66409,340601,93816,161517,19559,24573,0,19559,0,5014
2021-02-10,2021-02-09,6,460252,626146,559737,66409,366436,93816,165894,25835,30212,0,25835,0,4377
2021-02-11,2021-02-10,6,489558,660284,593875,66409,395742,93816,170726,29306,34138,0,29306,0,4832
