date_of_update,date,week,total_registerd,total_estimated,people_vaccinated,people_fully_vaccinated,ggd_total,hosp_total,care_total,ha_total,registerd_new,estimated_new,people_fully_vaccinated_new,ggd_new,hosp_new,care_new,ha_new
2021-01-07,2021-01-06,1,6000,NA,6000,0,0,6000,0,NA,NA,NA,NA,0,6000,NA,NA
2021-01-08,2021-01-07,1,15000,NA,15000,0,0,15000,0,NA,9000,0,0,0,9000,0,NA
2021-01-09,2021-01-08,1,27000,NA,27000,0,1000,26000,0,NA,12000,0,0,1000,11000,0,NA
2021-01-10,2021-01-09,1,30000,NA,30000,0,0,30000,0,NA,3000,0,0,500,4000,0,NA
2021-01-11,2021-01-10,1,31000,NA,31000,0,0,31000,0,NA,1000,0,0,500,1000,0,NA
2021-01-12,2021-01-11,2,35500,NA,35500,0,1500,34000,0,NA,4500,0,0,500,3000,0,NA
2021-01-13,2021-01-12,2,45000,NA,45000,0,7000,38000,0,NA,9500,0,0,5500,4000,0,NA
2021-01-14,2021-01-13,2,47000,NA,47000,0,NA,39000,0,NA,2000,0,0,5000,1000,0,NA
2021-01-15,2021-01-14,2,47000,NA,47000,0,0,40000,0,NA,0,0,0,5000,1000,0,NA
2021-01-16,2021-01-15,2,55000,NA,55000,0,15000,0,0,NA,8000,0,0,5000,0,0,NA
2021-01-17,2021-01-16,2,55000,NA,55000,0,15000,0,0,NA,0,0,0,11000,0,5184,NA
2021-01-18,2021-01-17,2,77000,NA,77000,0,37000,0,0,NA,22000,0,0,11000,0,5184,NA
2021-01-19,2021-01-18,3,77000,NA,77000,0,37000,0,0,NA,0,0,0,10129,0,5184,NA
2021-01-20,2021-01-19,3,77000,NA,77000,0,37000,0,0,NA,0,0,0,10129,0,5184,NA
2021-01-21,2021-01-20,3,100000,NA,100000,0,67388,0,0,NA,23000,0,0,10130,0,5184,NA
2021-01-22,2021-01-21,3,100000,NA,100000,0,77317,0,0,NA,0,0,0,9929,0,5184,NA
2021-01-23,2021-01-22,3,135000,NA,135000,0,87268,0,0,NA,35000,0,0,9951,0,5184,NA
2021-01-24,2021-01-23,3,135000,NA,135000,0,96906,0,0,NA,0,0,0,9638,0,5184,NA
2021-01-25,2021-01-24,3,147102,163931,150000,0,106886,40216,16829,NA,12102,0,0,9980,0,5184,NA
2021-01-26,2021-01-25,4,156809,173638,173638,0,116593,40216,16829,NA,9707,9707,0,9707,0,5184,NA
2021-01-27,2021-01-26,4,168527,185356,185356,0,128311,40216,16829,NA,11718,11718,0,11718,0,5184,NA
2021-01-28,2021-01-27,4,186621,203450,197250,6200,140205,46416,16829,NA,18094,18094,6200,11894,6200,5184,NA
2021-01-29,2021-01-28,4,198669,215498,209298,6200,152253,46416,16829,NA,12048,12048,0,12048,0,5184,NA
2021-01-30,2021-01-29,4,209469,226298,340590,6200,152253,57216,16829,NA,10800,10800,0,0,10800,5184,NA
2021-01-31,2021-01-30,4,247374,346790,330381,13500,176286,71088,89416,NA,37905,120492,7300,24033,3500,5185,NA
2021-02-01,2021-01-31,4,248055,343881,317381,26500,187339,60716,95826,NA,681,-2909,13000,11053,12784,6410,NA
2021-02-02,2021-02-01,5,277275,375908,341908,34000,203559,73716,98633,NA,29220,32027,7500,16220,216,2807,NA
2021-02-03,2021-02-02,5,303702,416093,378093,38000,222486,81216,112391,NA,26427,40185,4000,18927,7500,13758,NA
2021-02-04,2021-02-03,5,330494,454998,416998,38000,245278,85216,124504,NA,26792,38905,0,22792,4000,12113,NA
2021-02-05,2021-02-04,5,356517,495535,456035,39500,269801,86716,139018,NA,26023,40537,1500,24523,1500,14514,NA
2021-02-06,2021-02-05,5,382975,532717,493217,39500,295159,87816,149742,NA,26458,37182,0,25358,1100,10724,NA
2021-02-07,2021-02-06,5,414198,568863,513863,55000,320982,93216,154665,NA,31223,36146,15500,25823,5400,4923,NA
2021-02-08,2021-02-07,6,414858,571361,504952,66409,321042,93816,156503,NA,660,2498,0,60,600,1838,NA
2021-02-09,2021-02-08,6,434417,595934,529525,66409,340601,93816,161517,NA,19559,24573,0,19559,0,5014,NA
2021-02-10,2021-02-09,6,460252,626146,559737,66409,366436,93816,165894,NA,25835,30212,0,25835,0,4377,NA
2021-02-11,2021-02-10,6,489558,660284,593875,66409,395742,93816,170726,NA,29306,34138,0,29306,0,4832,NA
2021-02-12,2021-02-11,6,518710,694888,612536,82352,424894,93816,176178,NA,29152,34604,15943,29152,0,5452,NA
2021-02-13,2021-02-12,6,548430,725175,642823,82352,454614,93816,176745,NA,29720,30287,0,29720,0,567,NA
2021-02-14,2021-02-13,6,577620,754365,617459,136906,483804,93816,176745,NA,29190,29190,54554,29190,0,0,NA
2021-02-15,2021-02-14,6,606861,783606,636934,146672,512392,94469,176745,NA,29241,29241,9766,28588,653,0,NA
2021-02-16,2021-02-15,7,623539,800905,644312,156593,528988,94551,177366,NA,16678,17299,9921,16596,82,621,NA
2021-02-17,2021-02-16,7,654186,835929,667687,168242,559635,94551,180270,1473,30647,35024,11649,30647,0,2904,1473
2021-02-18,2021-02-17,7,687306,874959,694959,180000,592755,94551,184706,2947,33120,39030,11758,33120,0,4436,1474
2021-02-19,2021-02-18,7,719632,915713,723460,192253,625081,94551,189142,6939,32326,40754,12253,32326,0,4436,3992
