"date_of_update","date","week","total_registerd","total_estimated","people_vaccinated","people_fully_vaccinated","ggd_total","hosp_total","care_total","ha_total","registerd_new","estimated_new","people_fully_vaccinated_new","ggd_new","hosp_new","care_new","ha_new"
2021-01-07,2021-01-06,1,3835,3835,6000,0,0,6000,0,0,0,3835,0,0,3835,0,0
2021-01-08,2021-01-07,1,15128,10221,15000,0,0,10221,0,0,9128,6386,9000,0,4221,0,0
2021-01-09,2021-01-08,1,27022,17996,27000,0,0,17996,0,0,11894,7775,12000,0,7775,0,0
2021-01-10,2021-01-09,1,32018,25760,30000,0,0,25760,0,0,4996,7764,3000,0,7764,0,0
2021-01-11,2021-01-10,1,33934,33753,31000,0,0,33753,0,0,1916,7993,1000,0,7993,0,0
2021-01-12,2021-01-11,2,42726,43344,35500,0,0,43344,0,0,8792,9591,4500,0,9591,0,0
2021-01-13,2021-01-12,2,45087,50390,45000,0,0,50390,0,0,2361,7046,9500,0,7046,0,0
2021-01-14,2021-01-13,2,47006,56048,47000,0,0,56048,0,0,1919,5658,2000,0,5658,0,0
2021-01-15,2021-01-14,2,49487,61703,47000,0,0,61703,0,0,2481,5655,0,0,5655,0,0
2021-01-16,2021-01-15,2,58332,67128,55000,0,0,67128,0,0,8845,5425,8000,0,5425,0,0
2021-01-17,2021-01-16,2,67447,72091,55000,0,0,72091,0,0,9115,4963,0,0,4963,0,0
2021-01-18,2021-01-17,2,77807,77054,77000,0,0,77054,0,0,10360,4963,22000,0,4963,0,0
2021-01-19,2021-01-18,3,88926,90493,77000,0,0,90493,0,0,11119,13439,0,0,13439,0,0
2021-01-20,2021-01-19,3,98832,103932,77000,0,0,103932,0,0,9906,13439,0,0,13439,0,0
2021-01-21,2021-01-20,3,116271,117370,100000,0,0,117370,0,0,17439,13438,23000,0,13438,0,0
2021-01-22,2021-01-21,3,131249,130805,100000,0,0,130805,0,0,14978,13435,0,0,13435,0,0
2021-01-23,2021-01-22,3,141243,145091,135000,0,0,145091,0,0,9994,14286,35000,0,14286,0,0
2021-01-24,2021-01-23,3,152495,155913,135000,0,0,155913,0,0,11252,10822,0,0,10822,0,0
2021-01-25,2021-01-24,3,147316,166734,150000,0,0,166734,0,0,-5179,10821,15000,0,10821,0,0
2021-01-26,2021-01-25,4,156809,182718,173638,0,0,182718,0,0,9493,15984,23638,0,15984,0,0
2021-01-27,2021-01-26,4,168527,202176,185356,0,0,202176,0,0,11718,19458,11718,0,19458,0,0
2021-01-28,2021-01-27,4,186621,228506,197250,6200,0,228506,0,0,18094,26330,11894,0,26330,0,0
2021-01-29,2021-01-28,4,198669,258776,209298,6200,0,258776,0,0,12048,30270,12048,0,30270,0,0
2021-01-30,2021-01-29,4,209469,293185,340590,6200,0,293185,0,0,10800,34409,131292,0,34409,0,0
2021-01-31,2021-01-30,4,233502,324095,330381,13500,0,324095,0,0,24033,30910,-10209,0,30910,0,0
2021-02-01,2021-01-31,4,248055,352204,317381,26500,0,352204,0,0,14553,28109,-13000,0,28109,0,0
2021-02-02,2021-02-01,5,277275,386665,341908,34000,0,386665,0,0,29220,34461,24527,0,34461,0,0
2021-02-03,2021-02-02,5,303702,421289,378093,38000,0,421289,0,0,26427,34624,36185,0,34624,0,0
2021-02-04,2021-02-03,5,330494,454098,416998,38000,0,454098,0,0,26792,32809,38905,0,32809,0,0
2021-02-05,2021-02-04,5,356517,488691,456035,39500,0,488691,0,0,26023,34593,39037,0,34593,0,0
2021-02-06,2021-02-05,5,382975,521967,493217,39500,0,521967,0,0,26458,33276,37182,0,33276,0,0
2021-02-07,2021-02-06,5,414198,549695,513863,55000,0,549695,0,0,31223,27728,20646,0,27728,0,0
2021-02-08,2021-02-07,6,414858,573344,504952,66409,0,573344,0,0,660,23649,-8911,0,23649,0,0
2021-02-09,2021-02-08,6,434417,606478,529525,66409,0,606478,0,0,19559,33134,24573,0,33134,0,0
2021-02-10,2021-02-09,6,460252,638764,559737,66409,0,638764,0,0,25835,32286,30212,0,32286,0,0
2021-02-11,2021-02-10,6,489558,670735,593875,66409,0,670735,0,0,29306,31971,34138,0,31971,0,0
2021-02-12,2021-02-11,6,518710,702667,612536,82352,0,702667,0,0,29152,31932,18661,0,31932,0,0
2021-02-13,2021-02-12,6,548430,734598,642823,82352,0,734598,0,0,29720,31931,30287,0,31931,0,0
2021-02-14,2021-02-13,6,577620,763058,617459,136906,0,763058,0,0,29190,28460,-25364,0,28460,0,0
2021-02-15,2021-02-14,6,606861,791515,636934,146672,0,791515,0,0,29241,28457,19475,0,28457,0,0
2021-02-16,2021-02-15,7,623539,823122,644312,156593,0,823122,0,0,16678,31607,7378,0,31607,0,0
2021-02-17,2021-02-16,7,654186,854728,667687,168242,0,854728,0,0,30647,31606,23375,0,31606,0,0
2021-02-18,2021-02-17,7,687306,890100,694959,180000,0,890100,0,0,33120,35372,27272,0,35372,0,0
2021-02-19,2021-02-18,7,719632,926819,723460,192253,0,926819,0,0,32326,36719,28501,0,36719,0,0
2021-02-20,2021-02-19,7,750899,965829,736192,222253,0,965829,0,0,31267,39010,12732,0,39010,0,0
2021-02-21,2021-02-20,7,779889,1003908,754182,233253,0,1003908,0,0,28990,38079,17990,0,38079,0,0
2021-02-22,2021-02-21,8,806744,1041982,781037,233253,0,1041982,0,0,26855,38074,26855,0,38074,0,0
2021-02-23,2021-02-22,8,835554,1079763,829618,233253,0,1079763,0,0,28810,37781,48581,0,37781,0,0
2021-02-24,2021-02-23,8,862964,1123430,878283,234253,0,1123430,0,0,27410,43667,48665,0,43667,0,0
