date_of_update,date,week,total_registerd,people_first_shot,people_second_shot,ggd_boost_total,ggd_third_dose_total,other_boost_total,boost_total,,,
2021-01-07,2021-01-06,1,6000,6000,0,0,0,0,0,,,
2021-01-08,2021-01-07,1,15000,15000,0,0,0,0,0,,,
2021-01-09,2021-01-08,1,27000,27000,0,0,0,0,0,,,
2021-01-10,2021-01-09,1,30000,30000,0,0,0,0,0,,,
2021-01-11,2021-01-10,1,31000,31000,0,0,0,0,0,,,
2021-01-12,2021-01-11,2,35500,35500,0,0,0,0,0,,,
2021-01-13,2021-01-12,2,45000,45000,0,0,0,0,0,,,
2021-01-14,2021-01-13,2,47000,47000,0,0,0,0,0,,,
2021-01-15,2021-01-14,2,47000,47000,0,0,0,0,0,,,
2021-01-16,2021-01-15,2,55000,55000,0,0,0,0,0,,,
2021-01-17,2021-01-16,2,55000,55000,0,0,0,0,0,,,
2021-01-18,2021-01-17,2,77000,77000,0,0,0,0,0,,,
2021-01-19,2021-01-18,3,77000,77000,0,0,0,0,0,,,
2021-01-20,2021-01-19,3,77000,77000,0,0,0,0,0,,,
2021-01-21,2021-01-20,3,100000,100000,0,0,0,0,0,,,
2021-01-22,2021-01-21,3,100000,100000,0,0,0,0,0,,,
2021-01-23,2021-01-22,3,135000,135000,0,0,0,0,0,,,
2021-01-24,2021-01-23,3,135000,135000,0,0,0,0,0,,,
2021-01-25,2021-01-24,3,150000,150000,0,0,0,0,0,,,
2021-01-26,2021-01-25,4,173638,173638,0,0,0,0,0,,,
2021-01-27,2021-01-26,4,185356,185356,0,0,0,0,0,,,
2021-01-28,2021-01-27,4,203450,197250,6200,0,0,0,0,,,
2021-01-29,2021-01-28,4,215498,209298,6200,0,0,0,0,,,
2021-01-30,2021-01-29,4,346790,340590,6200,0,0,0,0,,,
2021-01-31,2021-01-30,4,343881,330381,13500,0,0,0,0,,,
2021-02-01,2021-01-31,4,343881,317381,26500,0,0,0,0,,,
2021-02-02,2021-02-01,5,375908,341908,34000,0,0,0,0,,,
2021-02-03,2021-02-02,5,416093,378093,38000,0,0,0,0,,,
2021-02-04,2021-02-03,5,454998,416998,38000,0,0,0,0,,,
2021-02-05,2021-02-04,5,495535,456035,39500,0,0,0,0,,,
2021-02-06,2021-02-05,5,532717,493217,39500,0,0,0,0,,,
2021-02-07,2021-02-06,5,568863,513863,55000,0,0,0,0,,,
2021-02-08,2021-02-07,6,571361,504952,66409,0,0,0,0,,,
2021-02-09,2021-02-08,6,595934,529525,66409,0,0,0,0,,,
2021-02-10,2021-02-09,6,626146,559737,66409,0,0,0,0,,,
2021-02-11,2021-02-10,6,660284,593875,66409,0,0,0,0,,,
2021-02-12,2021-02-11,6,694888,612536,82352,0,0,0,0,,,
2021-02-13,2021-02-12,6,725175,642823,82352,0,0,0,0,,,
2021-02-14,2021-02-13,6,754365,617459,136906,0,0,0,0,,,
2021-02-15,2021-02-14,6,783606,636934,146672,0,0,0,0,,,
2021-02-16,2021-02-15,7,800905,644312,156593,0,0,0,0,,,
2021-02-17,2021-02-16,7,835929,667687,168242,0,0,0,0,,,
2021-02-18,2021-02-17,7,874959,694959,180000,0,0,0,0,,,
2021-02-19,2021-02-18,7,915713,723460,192253,0,0,0,0,,,
2021-02-20,2021-02-19,7,958445,736192,222253,0,0,0,0,,,
2021-02-21,2021-02-20,7,987435,754182,233253,0,0,0,0,,,
2021-02-22,2021-02-21,8,1014290,781037,233253,0,0,0,0,,,
2021-02-23,2021-02-22,8,1062871,829618,233253,0,0,0,0,,,
2021-02-24,2021-02-23,8,1112536,878283,234253,0,0,0,0,,,
2021-02-25,2021-02-24,8,1169302,876977,292325,0,0,0,0,,,
2021-02-26,2021-02-25,8,1236192,927144,309048,0,0,0,0,,,
2021-02-27,2021-02-26,8,1285742,964307,321435,0,0,0,0,,,
2021-02-28,2021-02-27,8,1319008,989256,329752,0,0,0,0,,,
2021-03-01,2021-02-28,8,1336670,1002503,334167,0,0,0,0,,,
2021-03-02,2021-03-01,9,1379655,1034742,344913,0,0,0,0,,,
2021-03-03,2021-03-02,9,1425319,1068990,356329,0,0,0,0,,,
2021-03-04,2021-03-03,9,1470623,1102968,367655,0,0,0,0,,,
2021-03-05,2021-03-04,9,1527014,1145261,381753,0,0,0,0,,,
2021-03-06,2021-03-05,9,1571318,1178489,392829,0,0,0,0,,,
2021-03-07,2021-03-06,9,1596256,1197192,399064,0,0,0,0,,,
2021-03-08,2021-03-07,9,1620090,1279872,340218,0,0,0,0,,,
2021-03-09,2021-03-08,10,1656245,1242184,414061,0,0,0,0,,,
2021-03-10,2021-03-09,10,1696498,1272374,424124,0,0,0,0,,,
2021-03-11,2021-03-10,10,1740095,1305072,435023,0,0,0,0,,,
2021-03-12,2021-03-11,10,1784735,1338552,446183,0,0,0,0,,,
2021-03-13,2021-03-12,10,1832962,1374722,458240,0,0,0,0,,,
2021-03-14,2021-03-13,10,1865547,1399161,466386,0,0,0,0,,,
2021-03-15,2021-03-14,10,1892689,1419517,473172,0,0,0,0,,,
2021-03-16,2021-03-15,11,1915572,1417524,498048,0,0,0,0,,,
2021-03-17,2021-03-16,11,1946639,1440513,506126,0,0,0,0,,,
2021-03-18,2021-03-17,11,1977224,1463146,514078,0,0,0,0,,,
2021-03-19,2021-03-18,11,2008275,1486124,522151,0,0,0,0,,,
2021-03-20,2021-03-19,11,2040932,1510290,530642,0,0,0,0,,,
2021-03-21,2021-03-20,11,2070474,1532151,538323,0,0,0,0,,,
2021-03-22,2021-03-21,11,2098236,1552695,545541,0,0,0,0,,,
2021-03-23,2021-03-22,12,2122429,1509048,613381,0,0,0,0,,,
2021-03-24,2021-03-23,12,2166469,1540360,626109,0,0,0,0,,,
2021-03-25,2021-03-24,12,2224463,1581594,642869,0,0,0,0,,,
2021-03-26,2021-03-25,12,2268139,1612647,655492,0,0,0,0,,,
2021-03-27,2021-03-26,12,2323611,1652088,671523,0,0,0,0,,,
2021-03-28,2021-03-27,12,2355458,1695930,659528,0,0,0,0,,,
2021-03-29,2021-03-28,12,2378806,1712741,666065,0,0,0,0,,,
2021-03-30,2021-03-29,13,2440088,1732463,707625,0,0,0,0,,,
2021-03-31,2021-03-30,13,2505283,1778751,726532,0,0,0,0,,,
2021-04-01,2021-03-31,13,2577660,1830139,747521,0,0,0,0,,,
2021-04-02,2021-04-01,13,2664138,1891538,772600,0,0,0,0,,,
2021-04-03,2021-04-02,13,2742044,1946852,795192,0,0,0,0,,,
