date,week,beschikbaar,Comirnaty,Moderna,AstraZeneca
2021-01-10,1,197730,35500,,
2021-01-17,2,346320,86804,,
2021-01-24,3,544380,160538,,
2021-01-31,4,636810,331531,12350,
2021-02-07,5,847890,551886,19475,
2021-02-14,6,1086210,758526,25080,
2021-02-21,7,1378770,888040,63080,63170
2021-02-28,8,1732860,1084583,64980,187107
2021-03-07,9,2152770,1281718,102790,247874
2021-03-14,10,2506230,1488496,108395,319091
2021-03-21,11,2887262,1644106,135660,491501
2021-03-28,12,3407595,1850475,195320,655721
2021-04-04,13,3814684,2051286,226860,870732
2021-04-11,14,4471395,2278773,266523,1077248
