day,total_all,shots_given,spillage,BES.CAS,shots_in_freezer
2020-12-24,0,,,,0
2020-12-25,0,,,,0
2020-12-26,11700,,,,11700
2020-12-27,11700,,,,11700
2020-12-28,11700,,,,11700
2020-12-29,197730,,,,197730
2020-12-30,197730,,,,197730
2020-12-31,197730,,,,197730
2021-01-01,197730,,,,197730
2021-01-02,197730,,,,197730
2021-01-03,197730,,,,197730
2021-01-04,197730,,,,197730
2021-01-05,346320,,,,346320
2021-01-06,346320,6000,,,340320
2021-01-07,346320,10221,,,336099
2021-01-08,346320,17996,,,328324
2021-01-09,346320,25760,,,320560
2021-01-10,346320,33753,,,312567
2021-01-11,359520,43344,,,316176
2021-01-12,359520,50390,,,309130
2021-01-13,544380,56048,,,488332
2021-01-14,544380,61703,,,482677
2021-01-15,544380,67128,,,477252
2021-01-16,544380,72091,,,472289
2021-01-17,544380,77054,,,467326
2021-01-18,544380,90493,,,453887
2021-01-19,544380,103932,,,440448
2021-01-20,636810,117370,,,519440
2021-01-21,636810,130805,,,506005
2021-01-22,636810,145091,,,491719
2021-01-23,636810,155913,,,480897
2021-01-24,636810,166734,,,470076
2021-01-25,636810,182718,,,454092
2021-01-26,636810,202176,,,434634
2021-01-27,828690,228506,,,600184
2021-01-28,828690,258776,,,569914
2021-01-29,828690,293185,,,535505
2021-01-30,847890,324095,,,523795
2021-01-31,847890,352204,,,495686
2021-02-01,847890,386665,,,461225
2021-02-02,847890,421289,,,426601
2021-02-03,1007010,454098,,,552912
2021-02-04,1007010,488691,,,518319
2021-02-05,1086210,521967,,,564243
2021-02-06,1086210,549695,,,536515
2021-02-07,1086210,573344,,,512866
2021-02-08,1086210,606478,,,479732
2021-02-09,1086210,638764,,,447446
2021-02-10,1181250,670735,,,510515
2021-02-11,1378770,702667,,,676103
2021-02-12,1378770,734598,,,644172
2021-02-13,1378770,763058,,,615712
2021-02-14,1378770,791515,,,587255
2021-02-15,1378770,823122,,,555648
2021-02-16,1378770,854728,,,524042
2021-02-17,1732860,890100,,,842760
2021-02-18,1732860,926819,,,806041
2021-02-19,1732860,965829,,,767031
2021-02-20,1732860,1003908,,,728952
2021-02-21,1732860,1041982,,,690878
2021-02-22,1732860,1079763,,,653097
2021-02-23,1732860,1123430,,,609430
2021-02-24,1932930,1173992,,,758938
2021-02-25,2004930,1227393,,,777537
2021-02-26,2004930,1285294,,,719636
2021-02-27,2004930,1338194,,,666736
2021-02-28,2153320,1387227,,,766093
2021-03-01,2153320,1432509,,,720811
2021-03-02,2153320,1478901,,,674419
2021-03-03,2361580,1523551,,,838029
2021-03-04,2361580,1567646,,,793934
2021-03-05,2361580,1610007,,,751573
2021-03-06,2361580,1648391,,,713189
2021-03-07,2578060,1682777,,,895283
2021-03-08,2578060,1723874,,,854186
2021-03-09,2578060,1765618,,,812442
2021-03-10,2796850,1807417,,,989433
2021-03-11,2891890,1849157,,,1042733
2021-03-12,2891890,1888710,,,1003180
2021-03-13,2891890,1928257,,,963633
2021-03-14,2936770,1967781,,77980,891009
2021-03-15,2936770,1998204,,77980,860586
2021-03-16,2936770,2028828,,77980,829962
2021-03-17,3155560,2059674,,77980,1017906
2021-03-18,3155560,2090408,,77980,987172
2021-03-19,3155560,2120806,,77980,956774
2021-03-20,3251560,2151199,,77980,1022381
2021-03-21,3251560,2181590,,86450,983520
2021-03-22,3251560,2211938,,86450,953172
2021-03-23,3251560,2245919,,86450,919191
2021-03-24,3577990,2291925,,86450,1199615
2021-03-25,3622870,2337869,,86450,1198551
2021-03-26,3622870,2385592,,86450,1150828
2021-03-27,3622870,2432298,,86450,1104122
2021-03-28,3622870,2479000,,135570,1008300
2021-03-29,3622870,2541889,,135570,945411
2021-03-30,4053190,2608677,,135570,1308943
2021-03-31,4524820,2681143,,135570,1708107
2021-04-01,4524820,2753437,,135570,1635813
2021-04-02,4524820,2827949,,135570,1561301
2021-04-03,4524820,2878418,,135570,1510832
2021-04-04,4524820,2927288,,159240,1438292
2021-04-05,4524820,2981553,,159240,1384027
2021-04-06,4524820,3063541,,159240,1302039
2021-04-07,5012710,3156503,,159240,1696967
2021-04-08,5012710,3257495,,159240,1595975
2021-04-09,5012710,3363676,,159240,1489794
2021-04-10,5012710,3464778,,159240,1388692
2021-04-11,5068150,3564680,,245030,1258440
2021-04-12,5147350,3682843,,245030,1219477
2021-04-13,5147350,3800899,,245030,1101421
2021-04-14,5635240,3918546,,245030,1471664
2021-04-15,5635240,4033340,,245030,1356870
2021-04-16,5635240,4145360,,245030,1244850
2021-04-17,5756440,4252961,,245030,1258449
2021-04-18,5899000,4358385,,245030,1295585
2021-04-19,5899000,4465186,,245030,1188784
2021-04-20,5899000,4567920,,245030,1086050
2021-04-21,6386890,4659624,,245030,1482236
2021-04-22,6386890,4743612,,245030,1398248
2021-04-23,6386890,4826634,,245030,1315226
2021-04-24,6456490,4909615,,245030,1301845
2021-04-25,6498730,4992375,,245030,1261325
2021-04-26,6498730,5084304,,245030,1169396
2021-04-27,6498730,5176010,,245030,1077690
2021-04-28,7245670,5265860,,245030,1734780
2021-04-29,7245670,5360802,,245030,1639838
2021-04-30,7324870,5455349,,245030,1624491
2021-05-01,7324870,5557642,,245030,1522198
2021-05-02,7963750,5651041,,245030,2067679
2021-05-03,7963750,5757731,,245030,1960989
2021-05-04,7963750,5860446,59196,245030,1799078
2021-05-05,8615440,5980676,60411,245030,2329323
2021-05-06,8615440,6101271,61629,245030,2207510
2021-05-07,8730640,6224773,62876,245030,2197961
2021-05-08,8730640,6346699,64108,245030,2074803
2021-05-09,8730640,6462498,65278,245030,1957834
2021-05-10,8730640,6588757,66553,245030,1830300
2021-05-11,8802640,6722905,67908,245030,1766797
2021-05-12,9454330,6875100,69445,245030,2264755
2021-05-13,9454330,,,,9454330
2021-05-14,9569530,,,,9569530
2021-05-15,9569530,,,,9569530
2021-05-16,9698890,,,,9698890
2021-05-17,9698890,,,,9698890
2021-05-18,9698890,,,,9698890
2021-05-19,10602580,,,,10602580
2021-05-20,10602580,,,,10602580
2021-05-21,10717780,,,,10717780
2021-05-22,10717780,,,,10717780
2021-05-23,10858580,,,,10858580
2021-05-24,10858580,,,,10858580
2021-05-25,10858580,,,,10858580
2021-05-26,11059580,,,,11059580
2021-05-27,11711270,,,,11711270
2021-05-28,11826470,,,,11826470
2021-05-29,11826470,,,,11826470
2021-05-30,12437873,,,,12437873
2021-05-31,12437873,,,,12437873
2021-06-01,12437873,,,,12437873
2021-06-02,12437873,,,,12437873
2021-06-03,13456943,,,,13456943
2021-06-04,13572143,,,,13572143
2021-06-05,13572143,,,,13572143
2021-06-06,13572143,,,,13572143
2021-06-07,13572143,,,,13572143
2021-06-08,13572143,,,,13572143
2021-06-09,13572143,,,,13572143
2021-06-10,14591213,,,,14591213
2021-06-11,14591213,,,,14591213
2021-06-12,14591213,,,,14591213
2021-06-13,14591213,,,,14591213
2021-06-14,14591213,,,,14591213
2021-06-15,14591213,,,,14591213
2021-06-16,14591213,,,,14591213
2021-06-17,15610283,,,,15610283
2021-06-18,15610283,,,,15610283
2021-06-19,15610283,,,,15610283
2021-06-20,15610283,,,,15610283
2021-06-21,15610283,,,,15610283
2021-06-22,15610283,,,,15610283
2021-06-23,15610283,,,,15610283
2021-06-24,16629353,,,,16629353
2021-06-25,16629353,,,,16629353
2021-06-26,16629353,,,,16629353
2021-06-27,16629353,,,,16629353
2021-06-28,16629353,,,,16629353
2021-06-29,16629353,,,,16629353
2021-06-30,16629353,,,,16629353
2021-07-01,17648423,,,,17648423
2021-07-02,17648423,,,,17648423
