day,week,Comirnaty_recieved,Comirnaty_total,Moderna_received,Moderna_total,AstraZeneca_recieved,AstraZeneca_total,Janssen_recieved,Janssen_total,total_all,,,,delivery_date,delivery_week,Comirnaty,Comirnatiy_sum,Moderna,Moderna_sum,AstraZeneca,AstraZeneca_sum,total_sum,com_given_cum,mod_given_cum,AZ_given_cum,tot_given_sum,,,,,
2020-12-24,52,,0,,,,,,,0,,,,2020-12-25,52,11700,11700,,,,,11700,,,,0,,,,,
2020-12-25,52,11700,11700,,,,,,,11700,,,,2020-12-28,53,186030,197730,,0,,0,197730,,,,0,,,,,
2020-12-26,52,,11700,,,,,,,11700,,,,2021-01-10,1,148590,346320,,0,,0,346320,35500,,,35500,,,,,
2020-12-27,52,,11700,,,,,,,11700,,,,2021-01-17,2,184860,531180,13200,13200,,0,544380,86804,,,86804,,,,,
2020-12-28,53,186030,197730,,,,,,,197730,,,,2021-01-24,3,92430,623610,,13200,,0,636810,160538,,,160538,,,,,
2020-12-29,53,,197730,,,,,,,197730,,,,2021-01-31,4,191880,815490,19200,32400,,0,847890,331531,12350,,343881,,,,,
2020-12-30,53,,197730,,,,,,,197730,,,,2021-02-07,5,159120,974610,,32400,79200,79200,1086210,551886,19475,,571361,,,,,
2020-12-31,53,,197730,,,,,,,197730,,,,2021-02-14,6,159120,1133730,38400,70800,95040,174240,1378770,758526,25080,,783606,,,,,
2021-01-01,53,,197730,,,,,,,197730,,,,2021-02-21,7,193050,1326780,,70800,161040,335280,1732860,888040,63080,63180,1014300,,,,,
2021-01-02,53,,197730,,,,,,,197730,,,,2021-02-28,8,200070,1526850,72000,142800,148390,483670,2153320,1084583,64980,187107,1336670,,,,,
2021-01-03,53,,197730,,,,,,,197730,,,,2021-03-07,9,208260,1735110,,142800,216480,700150,2578060,1261930,95760,262400,1620090,,,,,
2021-01-04,1,,197730,,,,,,,197730,,,,2021-03-14,10,218790,1953900,,142800,95040,795190,2891890,1438950,103455,350284,1892689,,,,,
2021-01-05,1,,197730,,,,,,,197730,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1,,197730,,,,,,,197730,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1,148590,346320,,,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-08,1,,346320,,,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-09,1,,346320,,,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-10,1,,346320,,,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-11,2,,346320,,,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-12,2,,346320,,,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-13,2,,346320,0,0,,,,,346320,,,,,,,,,,,,,,,,,,,,,
2021-01-14,2,184860,531180,13200,13200,,,,,544380,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2,,531180,0,13200,,,,,544380,,,,,,,,,,,,,,,,,,,,,
2021-01-16,2,,531180,0,13200,,,,,544380,,,,,,,,,,,,,,,,,,,,,
2021-01-17,2,,531180,0,13200,,,,,544380,,,,,,,,,,,,,,,,,,,,,
