Weeknummer,12-17 jaar,18-24 jaar,25-29 jaar,30-34 jaar,35-39 jaar,40-44 jaar,45-49 jaar,50-54 jaar,55-59 jaar,60-64 jaar,65-69 jaar,70-74 jaar,75-79 jaar,80-84 jaar,85-89 jaar,90+
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
3,0,1,1,1,1,1,2,2,2,2,1,0,0,0,0,1
4,0,2,2,2,2,2,2,3,3,3,1,1,1,3,6,23
5,0,2,2,2,2,3,3,4,4,4,1,1,2,5,30,49
6,0,2,2,2,2,3,3,4,4,4,1,1,2,18,51,57
7,0,2,3,3,3,3,4,4,5,5,2,1,3,29,63,62
8,0,3,3,3,3,4,4,5,6,10,2,1,3,44,71,68
9,0,3,3,3,4,4,5,5,6,14,2,2,5,64,76,72
10,0,4,4,4,4,5,5,6,7,17,2,2,9,75,79,74
11,0,4,4,4,4,5,5,6,7,17,3,2,17,80,81,75
12,0,4,4,4,5,5,6,7,8,21,3,2,25,82,81,76
13,0,4,5,5,5,6,7,8,9,27,4,8,41,84,83,77
14,0,5,5,5,5,6,7,8,10,36,6,20,56,85,84,79
15,0,5,5,5,6,6,7,9,11,51,13,42,78,87,85,81
16,0,5,5,5,6,7,8,9,11,59,25,67,88,88,87,82
17,0,5,6,6,6,7,8,10,13,64,49,85,89,89,87,83
18,0,6,6,6,7,8,9,11,21,68,75,89,90,90,88,84
19,0,7,8,8,9,11,12,15,37,72,87,91,91,91,89,85
20,1,9,10,11,12,15,18,22,51,78,88,91,92,91,90,86
21,1,11,12,12,14,17,21,34,64,80,89,92,92,91,90,86
22,1,12,13,13,15,24,30,52,73,81,89,92,92,91,90,86
23,1,14,14,15,23,42,54,70,82,82,90,92,92,92,90,86
24,2,15,16,20,37,60,69,77,84,84,90,92,92,92,91,87
25,3,20,24,39,56,68,74,80,85,86,91,93,93,92,91,87
26,6,36,48,55,64,72,77,81,86,87,91,93,93,92,91,87
27,22,58,58,61,68,75,78,83,86,88,92,93,93,92,91,87
28,32,60,59,62,69,75,79,83,87,89,92,93,93,92,91,88
