date,Twente - 1e prik,Twente - volledig,GooiVecht - 1e prik,GooiVecht - volledig,HollandsMidden - 1e prik,HollandsMidden - volledig,HM-one,HM-new-vol,Hollands-Noorden - 1e prik,Hollands-Noorden - volledig,HN-new-one,HN-new-vol,Flevoland - 1e prik,Flevoland - volledig,regios-tot-een,regios-tot-vol,total_registerd,total_estimated,people_vaccinated,people_fully_vaccinated,ggd_total,weekcheck,eerst prik%,tweede prik%,verhouding,verhouding-lag,,,,,Drenthe - totaal
2021-01-06,,,,,,,,,,,,,,,0,0,6000,0,6000,0,0,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,0,0,15000,0,15000,0,0,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,1,,1,0,27000,0,27000,0,1000,,0.10%,,0.00%,,,,,,
2021-01-09,,,,,,,,,,,,,3,,0,0,30000,0,30000,0,0,,#DIV/0!,,#DIV/0!,,,,,,
2021-01-10,,,,,3,,,,,,,,4,,3,0,31000,0,31000,0,0,,#DIV/0!,,0.00%,,,,,,
2021-01-11,,,,,3,,,,,,,,20,,3,0,35500,0,35500,0,1500,,0.20%,,0.00%,,,,,,
2021-01-12,,,,,3,,,,,,,,36,,3,0,45000,0,45000,0,7000,,0.04%,,0.00%,,,,,,
2021-01-13,,,,,3,,,,,,,,46,,3,0,47000,0,47000,0,0,,#DIV/0!,,0.00%,,,,,,
2021-01-14,,,,,3,,,,0,,,,57,,3,0,47000,0,47000,0,0,,#DIV/0!,,0.00%,,,,,,
2021-01-15,135,,,,3,,,,303,,303,,292,,138,0,55000,0,55000,0,15000,,0.92%,,0.00%,,,,,,
2021-01-16,344,,,,3,,,,618,,315,,514,,347,0,55000,0,55000,0,15000,,2.31%,,0.00%,,,,,,
2021-01-17,607,,,,1270,,,,922,,304,,782,,1877,0,77000,0,77000,0,37000,,5.07%,,0.00%,,,,,,
2021-01-18,938,,,,1270,,,,1255,,333,,1055,,2208,0,77000,0,77000,0,37000,,5.97%,,0.00%,,,,,,
2021-01-19,1209,,,,1270,,,,1589,,334,,1347,,2479,0,77000,0,77000,0,37000,,6.70%,,0.00%,,,,,,
