vac.group,number.in.group,Eerste prik,Tweede prik,people_fully_vaccinated,vaccin.type,Percentage eerste prik,Percentage tweede prik
Thuiswonend 90+,,67371,63682,61386,COM,,
Thuiswonend 85-89,,187692,178686,172739,COM,,
Thuiswonend 80-84,,373525,356208,341726,COM,,
Thuiswonend 75-79,,566025,537346,322516,COM,,
Thuiswonend 70-74,,847571,770343,146983,COM,,
Thuiswonend 65-69,,780899,556888,16417,COM,,
Thuiswonend 60-64,,71075,52308,40814,,,
Thuiswonend 55-59,,942324,151859,49536,,,
Thuiswonend 50-54,,816512,70902,42794,,,
Thuiswonend 45-49,,537788,51596,30659,,,
Thuiswonend 40-44,,381997,39259,22730,,,
Thuiswonend 35-39,,193934,32820,19036,,,
Thuiswonend 30-34,,122654,30814,18153,,,
Thuiswonend 25-29,,109098,30145,18256,,,
Thuiswonend 20-24,,114731,36327,22797,,,
Thuiswonend < 20,,58260,15251,9912,,,
Leeftijd onbekend,,1134,312,128,,,
Gevaccineerd door huisartsen (geschat),,1228637,610185,90322,AZ,,
Gevaccineerd door overige uitvoerders (geschat),,884441,434660,359995,COM/MOD/AZ/JAN,,
