vac.group,number.in.group,Eerste prik,Tweede prik
90+,92666,68094,65458
85-89,222615,188727,183719
80-84,411895,375784,366866
75-79,618051,571210,554740
70-74,929092,855872,820341
65-69,987575,794377,746750
60-64,1117798,136930,65793
55-59,1250592,1005134,881468
50-54,1281826,996038,567120
45-49,1186068,836359,497470
40-44,1022008,72757,297942
35-39,1045828,678308,178141
30-34,1102103,652329,113775
25-29,1138965,622659,100144
18-24,1539730,880580,144955
12-17,1171648,376238,13114
