Weeknummer,12-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
6,0,1,1,1,1,1,1,2,2,2,0,0,0,0,0,1
7,0,1,1,1,1,2,2,2,3,2,1,0,0,0,0,1
8,0,2,2,2,2,2,3,3,4,3,1,1,1,2,5,10
9,0,2,2,2,2,2,3,3,4,4,1,1,2,4,8,25
10,0,2,2,2,2,3,3,3,4,4,1,1,2,5,27,44
11,0,2,2,2,2,3,3,3,4,4,1,1,2,16,48,53
12,0,2,2,2,2,3,3,4,4,4,2,1,2,26,60,60
13,0,2,2,2,2,3,3,4,4,4,2,1,3,40,68,65
14,0,2,2,2,2,3,3,4,4,4,2,1,5,60,73,67
15,0,2,2,2,3,3,3,4,4,4,2,1,8,71,76,69
16,0,2,2,3,3,3,3,4,5,5,3,2,16,78,78,70
17,0,2,3,3,3,3,4,4,5,5,3,2,23,80,79,71
18,0,3,3,3,3,4,4,5,6,7,4,8,39,82,80,72
19,0,3,4,4,4,4,5,6,7,10,4,18,53,83,80,72
20,0,4,4,4,4,5,6,6,7,15,7,38,75,84,81,73
21,0,4,5,5,5,6,6,13,8,17,15,62,85,85,82,74
22,0,5,5,5,6,10,7,22,10,21,38,80,87,86,82,74
23,0,6,6,6,6,12,8,25,17,25,63,84,88,87,83,75
24,0,7,8,8,9,15,12,30,32,32,76,86,89,87,84,76
25,1,12,11,10,12,19,16,36,46,43,79,87,89,88,85,77
26,2,18,14,13,14,21,20,42,59,56,83,88,89,88,85,78
27,2,21,16,14,16,25,28,50,67,63,84,88,90,89,86,79
28,2,22,18,17,23,39,49,66,76,68,85,89,90,89,86,79
,,,,,,,,,,,,,,,,
,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
Weeknummer,12-17,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
1,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
2,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
3,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
4,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
5,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
6,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
7,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
8,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
9,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
10,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
11,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
12,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
13,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
14,1171648,1539730,1138965,1102103,1045828,1022008,1186068,1281826,1250592,1117798,987575,929092,618051,411895,222615,92666
