day,,Comirnaty_recieved,Comirnaty_total,Comirnaty_given,Moderna_received,Moderna_total,Moderna_given,,,,,
2020-12-24,52,,,,,,,,,,,
2020-12-25,52,164775,164775,,,,,,,,,
2020-12-26,52,,164775,,,,,,,,,
2020-12-27,53,,164775,,,,,,,,,
2020-12-28,53,,164775,,,,,,,,,
2020-12-29,53,,164775,,,,,,,,,
2020-12-30,53,,164775,,,,,,,,,
2020-12-31,53,,164775,,,,,,,,,
2021-01-01,53,123825,288600,,,,,,,,,
2021-01-02,53,,288600,,,,,,,,,
2021-01-03,53,,288600,,,,,,,,,
2021-01-04,1,,288600,,,,,,,,,
2021-01-05,1,,288600,,,,,,,,,
2021-01-06,1,,288600,6000,,,,,,,,
2021-01-07,1,,288600,15000,,,,,,,,
2021-01-08,1,,288600,27000,,,,,,,,
2021-01-09,1,,288600,30000,,,,,,,,
2021-01-10,1,,288600,31000,,,,,,,,
2021-01-11,2,,288600,35500,13200,13200,,301800,,,,
2021-01-12,2,,288600,45000,0,13200,,301800,,,,266300
2021-01-13,2,,288600,47000,0,13200,,301800,,,,243600
2021-01-14,2,,288600,47000,0,13200,,301800,,,,
2021-01-15,2,121875,410475,47000,0,13200,,423675,,,,
2021-01-16,2,,410475,47000,0,13200,,423675,,,,
2021-01-17,2,,410475,47000,0,13200,,423675,,,,
2021-01-18,3,103350,513825,47000,0,13200,,527025,,,,
2021-01-19,3,,513825,47000,0,13200,,527025,,,,
2021-01-20,3,,513825,47000,0,13200,,527025,,,,
2021-01-21,3,,513825,47000,0,13200,,527025,,,,
2021-01-22,3,,513825,47000,0,13200,,527025,,,,
2021-01-23,3,,513825,47000,0,13200,,527025,,,,
2021-01-24,3,,513825,47000,0,13200,,527025,,,,
2021-01-25,4,103350,617175,47000,19000,32200,,649375,,,,
2021-01-26,4,,617175,47000,0,32200,,649375,,,,
2021-01-27,4,,617175,47000,0,32200,,649375,6000,53000,,
2021-01-28,4,,617175,47000,0,32200,,649375,15000,62000,,
2021-01-29,4,,617175,47000,0,32200,,649375,27000,74000,,
2021-01-30,4,,617175,47000,0,32200,,649375,30000,77000,,
2021-01-31,4,,617175,47000,0,32200,,649375,31000,78000,,
2021-02-01,5,,617175,47000,0,32200,,649375,35500,82500,,
2021-02-02,5,103350,720525,47000,0,32200,,752725,45000,92000,,
2021-02-03,5,,720525,47000,0,32200,,752725,47000,94000,,
2021-02-04,5,,720525,47000,0,32200,,752725,,47000,,
2021-02-05,5,,720525,47000,0,32200,,752725,,47000,,
2021-02-06,5,,720525,47000,0,32200,,752725,,47000,,
2021-02-07,5,,720525,47000,0,32200,,752725,,47000,,
2021-02-08,6,,720525,47000,48000,80200,,800725,,47000,,
2021-02-09,6,,720525,47000,0,80200,,800725,,47000,,
2021-02-10,6,,720525,47000,0,80200,,800725,,47000,,
2021-02-11,6,,720525,47000,0,80200,,800725,,47000,,
2021-02-12,6,,720525,47000,0,80200,,800725,,47000,,
2021-02-13,6,,720525,47000,0,80200,,800725,,47000,,
2021-02-14,6,,720525,47000,0,80200,,800725,,47000,,
2021-02-15,7,,720525,47000,0,80200,,800725,,,,
2021-02-16,7,,720525,47000,0,80200,,800725,,,,
2021-02-17,7,,720525,47000,0,80200,,800725,,,,
2021-02-18,7,,720525,47000,0,80200,,800725,,,,
2021-02-19,7,,720525,47000,0,80200,,800725,,,,
2021-02-20,7,,720525,47000,0,80200,,800725,,,,
2021-02-21,7,,720525,47000,0,80200,,800725,,,,
2021-02-22,8,,720525,47000,142000,222200,,942725,,,,
2021-02-23,8,,720525,47000,,222200,,942725,,,,
2021-02-24,8,,720525,47000,,222200,,942725,,,,
2021-02-25,8,,720525,47000,,222200,,942725,,,,
2021-02-26,8,,720525,47000,,222200,,942725,,,,
2021-02-27,8,,720525,47000,,222200,,942725,,,,
2021-02-28,8,,720525,47000,,222200,,942725,,,,
2021-03-01,9,,720525,47000,,222200,,942725,,,,
2021-03-02,9,,720525,47000,,222200,,942725,,,,
