date;infected;seroprevlence;Pfizer - vaccinated;Pfizer;Moderna - vaccinated;moderna;AstraZeneca - vaccinated;Azeneca;CureVac-vaccinated;CureVac;Janssen - vaccinated;Janssen;Sanofi - vaccinated;Sanofi;total.vaccinated;total.pop;a60p;a70p;a80p;a90p
2020-12-27;750000;1700000;0;0;0;;0;;0;;0;;0;;0;17461543;10476926;12223080;13969234;15715389
2020-12-28;750000;1700000;21816;43631;0;;0;;0;;0;;0;;21816;17461543;10476926;12223080;13969234;15715389
2020-12-29;750000;1700000;43631;87263;0;;0;;0;;0;;0;;43631;17461543;10476926;12223080;13969234;15715389
2020-12-30;750000;1700000;65447;130894;0;;0;;0;;0;;0;;65447;17461543;10476926;12223080;13969234;15715389
2020-12-31;750000;1700000;87263;174525;0;;0;;0;;0;;0;;87263;17461543;10476926;12223080;13969234;15715389
2021-01-01;750000;1700000;97893;195786;0;0;0;;0;0;0;;0;;97893;17461543;10476926;12223080;13969234;15715389
2021-01-02;750000;1700000;108524;217048;0;0;0;;0;0;0;;0;;108524;17461543;10476926;12223080;13969234;15715389
2021-01-03;750000;1700000;119154;238309;0;0;0;;0;0;0;;0;;119154;17461543;10476926;12223080;13969234;15715389
2021-01-04;750000;1700000;129785;259570;0;0;0;;0;0;0;;0;;129785;17461543;10476926;12223080;13969234;15715389
2021-01-05;750000;1700000;140416;280831;0;0;0;;0;0;0;;0;;140416;17461543;10476926;12223080;13969234;15715389
2021-01-06;750000;1700000;151046;302093;0;0;0;;0;0;0;;0;;151046;17461543;10476926;12223080;13969234;15715389
2021-01-07;750000;1700000;161677;323354;0;0;0;;0;0;0;;0;;161677;17461543;10476926;12223080;13969234;15715389
2021-01-08;750000;1700000;172308;344615;0;0;0;;0;0;0;;0;;172308;17461543;10476926;12223080;13969234;15715389
2021-01-09;750000;1700000;182938;365877;0;0;0;;0;0;0;;0;;182938;17461543;10476926;12223080;13969234;15715389
2021-01-10;750000;1700000;193569;387138;0;0;0;;0;0;0;;0;;193569;17461543;10476926;12223080;13969234;15715389
2021-01-11;750000;1700000;204200;408399;2500;5000;0;;0;0;0;;0;;206700;17461543;10476926;12223080;13969234;15715389
2021-01-12;750000;1700000;214830;429660;5000;10000;0;;0;0;0;;0;;219830;17461543;10476926;12223080;13969234;15715389
2021-01-13;750000;1700000;225461;450922;7500;15000;0;;0;0;0;;0;;232961;17461543;10476926;12223080;13969234;15715389
2021-01-14;750000;1700000;236092;472183;10000;20000;0;;0;0;0;;0;;246092;17461543;10476926;12223080;13969234;15715389
2021-01-15;750000;1700000;246722;493444;12500;25000;0;;0;0;0;;0;;259222;17461543;10476926;12223080;13969234;15715389
2021-01-16;750000;1700000;257353;514706;15000;30000;0;;0;0;0;;0;;272353;17461543;10476926;12223080;13969234;15715389
2021-01-17;750000;1700000;267983;535967;17500;35000;0;;0;0;0;;0;;285483;17461543;10476926;12223080;13969234;15715389
2021-01-18;750000;1700000;278614;557228;20000;40000;0;;0;0;0;;0;;298614;17461543;10476926;12223080;13969234;15715389
2021-01-19;750000;1700000;289245;578490;22500;45000;0;;0;0;0;;0;;311745;17461543;10476926;12223080;13969234;15715389
2021-01-20;750000;1700000;299875;599751;25000;50000;0;;0;0;0;;0;;324875;17461543;10476926;12223080;13969234;15715389
2021-01-21;750000;1700000;310506;621012;27500;55000;0;;0;0;0;;0;;338006;17461543;10476926;12223080;13969234;15715389
2021-01-22;750000;1700000;321137;642273;30000;60000;0;;0;0;0;;0;;351137;17461543;10476926;12223080;13969234;15715389
2021-01-23;750000;1700000;331767;663535;32500;65000;0;;0;0;0;;0;;364267;17461543;10476926;12223080;13969234;15715389
2021-01-24;750000;1700000;342398;684796;35000;70000;0;;0;0;0;;0;;377398;17461543;10476926;12223080;13969234;15715389
2021-01-25;750000;1700000;353029;706057;37500;75000;0;;0;0;0;;0;;390529;17461543;10476926;12223080;13969234;15715389
2021-01-26;750000;1700000;363659;727319;40000;80000;0;;0;0;0;;0;;403659;17461543;10476926;12223080;13969234;15715389
2021-01-27;750000;1700000;374290;748580;42500;85000;0;;0;0;0;;0;;416790;17461543;10476926;12223080;13969234;15715389
2021-01-28;750000;1700000;384921;769841;45000;90000;0;;0;0;0;;0;;429921;17461543;10476926;12223080;13969234;15715389
2021-01-29;750000;1700000;395551;791102;47500;95000;0;;0;0;0;;0;;443051;17461543;10476926;12223080;13969234;15715389
